TEAM,YEAR,EXP,AVG HGT,n_players
Cal State Northridge,2004,1.45,,3
Cal State Northridge,2005,3.0,,2
Cal State Northridge,2006,1.503,,2
Cal State Northridge,2007,1.667,,3
California,2003,1.85,,4
California,2004,0.758,,4
California,2005,2.0,,3
California,2006,1.68,,5
California,2007,1.502,,4
Campbell,2003,2.493,,2
Campbell,2004,0.0,,1
Campbell,2006,2.357,,3
Campbell,2007,1.881,,3
Canisius,2003,1.766,,4
Canisius,2004,1.924,,2
Canisius,2005,1.804,,4
Canisius,2006,2.518,,4
Canisius,2007,2.113,,4
Centenary (LA),2003,2.0,,3
Centenary (LA),2004,2.816,,5
Centenary (LA),2005,2.706,,3
Centenary (LA),2006,2.0,,1
Centenary (LA),2007,1.333,,4
Central Arkansas,2007,1.637,,5
Central Connecticut State,2003,1.676,,3
Central Connecticut State,2004,1.757,,3
Central Connecticut State,2005,1.972,,3
Central Connecticut State,2006,2.021,,6
Central Connecticut State,2007,2.263,,5
Central Florida,2003,2.63,,5
Central Florida,2004,2.753,,4
Central Florida,2005,2.266,,5
Central Florida,2006,2.204,,4
Central Florida,2007,2.209,,5
Central Michigan,2003,2.223,,5
Central Michigan,2004,2.309,,4
Central Michigan,2005,1.667,,3
Central Michigan,2006,1.024,,5
Central Michigan,2007,1.182,,2
Charleston Southern,2003,2.02,,4
Charleston Southern,2004,2.385,,3
Charleston Southern,2005,2.34,,3
Charleston Southern,2006,2.062,,2
Charleston Southern,2007,3.0,,2
Charlotte,2003,1.56,,4
Charlotte,2004,2.023,,4
Charlotte,2005,2.532,,4
Charlotte,2006,2.272,,4
Charlotte,2007,2.678,,3
Chattanooga,2003,2.244,,4
Chattanooga,2004,2.763,,4
Chattanooga,2005,2.293,,4
Chattanooga,2006,2.229,,4
Chattanooga,2007,2.593,,4
Chicago State,2003,0.986,,3
Chicago State,2004,2.322,,3
Chicago State,2005,1.626,,5
Chicago State,2006,1.028,,3
Chicago State,2007,2.014,,2
Cincinnati,2003,2.286,,4
Cincinnati,2004,2.507,,2
Cincinnati,2005,2.225,,5
Cincinnati,2006,2.205,,5
Cincinnati,2007,1.751,,5
Clemson,2003,2.098,,2
Clemson,2004,1.599,,5
Clemson,2005,1.483,,4
Clemson,2006,1.812,,5
Clemson,2007,1.666,,5
Cleveland State,2003,2.194,,5
Cleveland State,2004,1.795,,3
Cleveland State,2005,3.0,,1
Cleveland State,2006,2.0,,1
Cleveland State,2007,1.779,,4
Coastal Carolina,2003,3.0,,1
Coastal Carolina,2004,2.552,,2
Coastal Carolina,2005,1.965,,4
Coastal Carolina,2006,1.975,,3
Coastal Carolina,2007,1.546,,4
Colgate,2003,2.545,,2
Colgate,2004,2.024,,3
Colgate,2005,1.589,,4
Colgate,2006,2.008,,3
Colgate,2007,3.0,,1
College of Charleston,2003,2.262,,5
College of Charleston,2004,2.496,,4
College of Charleston,2005,2.554,,2
College of Charleston,2006,2.347,,3
College of Charleston,2007,2.166,,5
Colorado,2003,1.996,,4
Colorado,2004,2.746,,4
Colorado,2005,1.169,,4
Colorado,2006,1.928,,3
Colorado,2007,1.711,,3
Colorado State,2003,1.916,,5
Colorado State,2005,2.492,,2
Colorado State,2006,1.668,,3
Colorado State,2007,2.041,,6
Columbia,2003,3.0,,1
Columbia,2004,2.0,,2
Columbia,2005,2.065,,3
Columbia,2006,1.0,,2
Columbia,2007,2.0,,1
Connecticut,2003,1.625,,4
Connecticut,2004,1.636,,6
Connecticut,2005,0.982,,5
Connecticut,2006,2.28,,6
Connecticut,2007,0.509,,4
Coppin State,2003,1.292,,4
Coppin State,2004,1.71,,3
Coppin State,2005,1.34,,3
Coppin State,2006,0.649,,3
Coppin State,2007,1.889,,3
Cornell,2003,1.014,,4
Cornell,2004,2.024,,4
Cornell,2005,2.487,,2
Cornell,2006,1.654,,3
Cornell,2007,1.432,,4
Creighton,2003,2.072,,3
Creighton,2004,1.763,,4
Creighton,2005,2.51,,4
Creighton,2006,1.847,,4
Creighton,2007,2.346,,5
Dartmouth,2003,1.739,,3
Dartmouth,2004,1.36,,3
Dartmouth,2005,3.0,,1
Dartmouth,2006,3.0,,1
Dartmouth,2007,1.0,,1
Davidson,2003,1.353,,3
Davidson,2004,1.468,,4
Davidson,2005,2.21,,5
Davidson,2006,3.0,,3
Davidson,2007,1.393,,5
Dayton,2003,2.03,,4
Dayton,2004,2.758,,4
Dayton,2005,1.0,,1
Dayton,2006,1.608,,3
Dayton,2007,1.136,,3
DePaul,2003,2.048,,3
DePaul,2004,1.986,,5
DePaul,2005,2.534,,4
DePaul,2006,1.048,,3
DePaul,2007,2.02,,3
Delaware,2003,1.699,,4
Delaware,2004,2.343,,3
Delaware,2005,2.251,,4
Delaware,2006,1.73,,3
Delaware,2007,1.007,,4
Delaware State,2003,2.518,,4
Delaware State,2004,2.503,,2
Delaware State,2005,1.839,,5
Delaware State,2006,1.849,,6
Delaware State,2007,2.781,,5
Denver,2003,2.005,,3
Denver,2004,2.289,,3
Denver,2005,2.262,,5
Denver,2006,2.036,,3
Denver,2007,2.175,,4
Detroit Mercy,2003,2.686,,3
Detroit Mercy,2004,2.816,,5
Detroit Mercy,2005,2.071,,2
Detroit Mercy,2006,2.3,,5
Detroit Mercy,2007,2.458,,3
Drake,2003,2.254,,4
Drake,2004,2.0,,1
Drake,2005,2.227,,4
Drake,2006,2.339,,3
Drake,2007,2.321,,4
Drexel,2003,2.065,,4
Drexel,2004,1.582,,5
Drexel,2005,2.373,,3
Drexel,2006,2.044,,5
Drexel,2007,2.205,,6
Duke,2003,1.533,,4
Duke,2004,1.456,,5
Duke,2005,2.327,,3
Duke,2006,1.913,,5
Duke,2007,0.986,,4
Duquesne,2003,1.691,,6
Duquesne,2004,2.237,,4
Duquesne,2005,1.985,,3
Duquesne,2006,1.365,,3
Duquesne,2007,0.756,,4
East Carolina,2003,1.806,,5
East Carolina,2004,3.0,,2
East Carolina,2005,1.721,,4
East Carolina,2006,1.665,,3
East Carolina,2007,1.768,,4
East Tennessee State,2003,1.658,,4
East Tennessee State,2004,1.991,,5
East Tennessee State,2005,2.0,,3
East Tennessee State,2006,2.561,,2
East Tennessee State,2007,1.555,,6
Eastern Illinois,2003,2.773,,4
Eastern Illinois,2004,3.0,,1
Eastern Illinois,2005,2.506,,2
Eastern Illinois,2006,1.588,,2
Eastern Illinois,2007,1.213,,4
Eastern Kentucky,2003,1.409,,2
Eastern Kentucky,2004,1.918,,3
Eastern Kentucky,2005,2.219,,5
Eastern Kentucky,2006,2.31,,4
Eastern Kentucky,2007,1.703,,4
Eastern Michigan,2003,1.698,,4
Eastern Michigan,2004,1.675,,3
Eastern Michigan,2005,2.783,,4
Eastern Michigan,2006,1.996,,3
Eastern Michigan,2007,2.0,,1
Eastern Washington,2003,1.988,,4
Eastern Washington,2004,2.733,,4
Eastern Washington,2005,2.401,,3
Eastern Washington,2006,1.245,,3
Eastern Washington,2007,1.896,,2
Elon,2003,0.481,,2
Elon,2004,1.28,,4
Elon,2005,1.54,,2
Elon,2006,2.33,,3
Elon,2007,2.384,,3
Evansville,2003,1.979,,3
Evansville,2004,1.76,,3
Evansville,2005,2.048,,4
Evansville,2006,1.458,,4
Evansville,2007,2.233,,5
Fairfield,2003,1.236,,4
Fairfield,2004,1.813,,4
Fairfield,2005,2.514,,4
Fairfield,2006,2.546,,2
Fairfield,2007,1.31,,5
Fairleigh Dickinson,2003,2.744,,4
Fairleigh Dickinson,2004,1.69,,3
Fairleigh Dickinson,2005,2.276,,5
Fairleigh Dickinson,2006,2.238,,5
Fairleigh Dickinson,2007,2.277,,4
Florida,2003,1.5,,5
Florida,2004,1.302,,3
Florida,2005,1.49,,5
Florida,2006,1.062,,6
Florida,2007,2.302,,6
Florida A&M,2003,2.247,,4
Florida A&M,2004,2.778,,4
Florida A&M,2005,2.0,,2
Florida A&M,2006,2.049,,4
Florida A&M,2007,2.403,,6
Florida Atlantic,2003,2.288,,3
Florida Atlantic,2004,2.486,,2
Florida Atlantic,2005,2.55,,2
Florida Atlantic,2006,2.352,,3
Florida Atlantic,2007,1.769,,4
Florida International,2003,1.981,,3
Florida International,2004,2.0,,1
Florida International,2005,2.0,,3
Florida International,2006,2.483,,2
Florida International,2007,2.035,,3
Florida State,2003,1.757,,4
Florida State,2004,3.0,,3
Florida State,2005,1.515,,2
Florida State,2006,2.011,,4
Florida State,2007,1.892,,5
Fordham,2003,1.703,,3
Fordham,2004,2.045,,3
Fordham,2005,0.797,,5
Fordham,2006,1.696,,6
Fordham,2007,1.623,,5
Fresno State,2003,2.664,,3
Fresno State,2004,2.391,,3
Fresno State,2005,1.362,,3
Fresno State,2006,1.424,,5
Fresno State,2007,2.213,,5
Furman,2003,2.372,,4
Furman,2004,2.01,,3
Furman,2005,1.611,,5
Furman,2006,2.252,,4
Furman,2007,3.0,,4
Gardner-Webb,2004,1.0,,1
Gardner-Webb,2005,1.802,,5
Gardner-Webb,2006,2.807,,5
Gardner-Webb,2007,2.012,,3
George Mason,2003,2.502,,4
George Mason,2004,2.002,,5
George Mason,2005,1.699,,3
George Mason,2006,2.17,,6
George Mason,2007,1.668,,5
George Washington,2003,1.315,,3
George Washington,2004,1.035,,4
George Washington,2005,1.838,,6
George Washington,2006,2.215,,5
George Washington,2007,2.412,,5
Georgetown,2003,1.269,,5
Georgetown,2004,1.761,,5
Georgetown,2005,1.172,,5
Georgetown,2006,1.989,,6
Georgetown,2007,1.434,,5
Georgia,2003,2.251,,4
Georgia,2004,2.429,,5
Georgia,2005,0.469,,4
Georgia,2006,1.48,,2
Georgia,2007,2.036,,4
Georgia Southern,2003,1.799,,4
Georgia Southern,2004,2.008,,3
Georgia Southern,2005,2.281,,4
Georgia Southern,2006,2.062,,3
Georgia Southern,2007,2.513,,4
Georgia State,2003,2.252,,4
Georgia State,2005,2.538,,4
Georgia State,2006,3.0,,3
Georgia State,2007,1.752,,4
Georgia Tech,2003,0.78,,5
Georgia Tech,2004,2.105,,6
Georgia Tech,2005,2.694,,4
Georgia Tech,2006,1.0,,4
Georgia Tech,2007,0.598,,3
Gonzaga,2003,1.998,,6
Gonzaga,2004,2.766,,4
Gonzaga,2005,1.685,,4
Gonzaga,2006,2.266,,4
Gonzaga,2007,1.775,,5
Grambling State,2003,1.609,,3
Grambling State,2004,1.723,,4
Grambling State,2005,2.0,,1
Grambling State,2006,1.883,,2
Grambling State,2007,2.0,,2
Green Bay,2003,1.95,,5
Green Bay,2004,2.222,,4
Green Bay,2005,2.328,,4
Green Bay,2006,0.6,,4
Green Bay,2007,1.74,,3
Hampton,2003,2.475,,4
Hampton,2004,1.539,,2
Hampton,2005,2.508,,4
Hampton,2006,2.679,,3
Hampton,2007,1.013,,4
Hartford,2003,2.453,,4
Hartford,2004,1.485,,5
Hartford,2005,2.0,,3
Hartford,2006,3.0,,2
Hartford,2007,1.209,,4
Harvard,2003,3.0,,3
Harvard,2004,1.676,,3
Harvard,2005,2.737,,4
Harvard,2006,1.987,,4
Harvard,2007,2.012,,2
Hawaii,2003,2.23,,5
Hawaii,2004,2.181,,5
Hawaii,2005,2.015,,3
Hawaii,2006,2.601,,5
Hawaii,2007,2.447,,5
High Point,2003,1.743,,3
High Point,2004,2.0,,4
High Point,2005,2.673,,3
High Point,2006,1.951,,2
High Point,2007,1.821,,5
Hofstra,2003,1.0,,3
Hofstra,2004,0.998,,2
Hofstra,2005,0.914,,3
Hofstra,2006,2.141,,5
Hofstra,2007,2.325,,4
Holy Cross,2003,2.706,,4
Holy Cross,2004,2.054,,3
Holy Cross,2005,2.024,,5
Holy Cross,2006,1.841,,4
Holy Cross,2007,2.339,,4
Houston,2003,1.735,,3
Houston,2004,1.998,,4
Houston,2005,2.015,,4
Houston,2006,2.472,,4
Houston,2007,2.516,,4
Howard,2003,2.759,,4
Howard,2004,1.967,,3
Howard,2005,1.0,,2
Howard,2006,2.344,,3
Howard,2007,3.0,,2
IPFW,2003,2.034,,2
IPFW,2004,1.636,,3
IPFW,2005,1.615,,3
IPFW,2006,1.773,,5
IPFW,2007,2.533,,2
IUPUI,2003,2.487,,4
IUPUI,2004,2.248,,4
IUPUI,2005,2.071,,4
IUPUI,2006,2.026,,3
IUPUI,2007,2.284,,4
Idaho,2003,2.044,,4
Idaho,2004,2.199,,5
Idaho,2005,2.728,,4
Idaho,2006,1.783,,3
Idaho,2007,1.716,,3
Idaho State,2003,1.745,,4
Idaho State,2004,2.534,,4
Idaho State,2005,3.0,,1
Idaho State,2006,2.656,,3
Idaho State,2007,2.463,,3
Illinois,2003,0.973,,3
Illinois,2004,1.359,,5
Illinois,2005,2.386,,5
Illinois,2006,2.343,,4
Illinois,2007,2.252,,4
Illinois State,2003,1.459,,4
Illinois State,2004,2.0,,3
Illinois State,2005,2.442,,5
Illinois State,2006,2.491,,2
Illinois State,2007,1.811,,4
Illinois–Chicago,2003,1.792,,5
Illinois–Chicago,2004,2.342,,3
Illinois–Chicago,2005,2.294,,4
Illinois–Chicago,2006,1.521,,4
Illinois–Chicago,2007,1.867,,5
Indiana,2003,1.914,,5
Indiana,2004,1.619,,3
Indiana,2005,1.013,,4
Indiana,2006,2.286,,3
Indiana,2007,1.999,,4
Indiana State,2003,1.655,,4
Indiana State,2004,0.538,,2
Indiana State,2005,2.056,,4
Indiana State,2006,1.282,,4
Indiana State,2007,1.973,,3
Iona,2003,1.525,,5
Iona,2004,1.307,,3
Iona,2005,2.229,,4
Iona,2006,2.838,,5
Iona,2007,1.162,,5
Iowa,2003,1.523,,6
Iowa,2004,1.499,,4
Iowa,2005,1.692,,3
Iowa,2006,2.499,,4
Iowa,2007,1.378,,3
Iowa State,2003,1.467,,5
Iowa State,2004,1.565,,5
Iowa State,2005,1.934,,4
Iowa State,2006,1.722,,3
Iowa State,2007,1.46,,4
Jackson State,2003,2.663,,3
Jackson State,2004,3.0,,2
Jackson State,2005,1.808,,4
Jackson State,2006,2.0,,2
Jackson State,2007,2.144,,4
Jacksonville,2003,3.0,,3
Jacksonville,2004,1.498,,4
Jacksonville,2005,1.989,,4
Jacksonville,2006,2.103,,3
Jacksonville,2007,0.827,,4
Jacksonville State,2003,2.641,,5
Jacksonville State,2004,2.462,,4
Jacksonville State,2005,2.0,,3
Jacksonville State,2006,2.748,,4
Jacksonville State,2007,2.346,,3
James Madison,2003,2.606,,5
James Madison,2004,1.984,,3
James Madison,2005,1.34,,3
James Madison,2006,1.645,,3
James Madison,2007,0.972,,6
Kansas,2003,2.01,,5
Kansas,2004,1.58,,4
Kansas,2005,2.536,,4
Kansas,2006,0.33,,3
Kansas,2007,1.038,,5
Kansas City,2003,1.41,,3
Kansas City,2004,2.281,,4
Kansas City,2005,1.75,,4
Kansas City,2006,1.69,,3
Kansas City,2007,1.614,,3
Kansas State,2003,2.612,,5
Kansas State,2004,2.683,,3
Kansas State,2005,1.209,,5
Kansas State,2006,1.699,,3
Kansas State,2007,2.606,,5
Kennesaw State,2006,1.045,,5
Kennesaw State,2007,2.527,,4
Kent State,2003,2.043,,4
Kent State,2004,2.385,,4
Kent State,2005,2.013,,5
Kent State,2006,2.472,,5
Kent State,2007,2.291,,4
Kentucky,2003,2.196,,5
Kentucky,2004,2.399,,5
Kentucky,2005,1.812,,4
Kentucky,2006,1.68,,3
Kentucky,2007,1.848,,5
LIU Brooklyn,2003,3.0,,2
LIU Brooklyn,2004,0.31,,3
LIU Brooklyn,2005,0.75,,4
LIU Brooklyn,2006,2.0,,2
LIU Brooklyn,2007,3.0,,2
La Salle,2003,0.0,,2
La Salle,2004,1.217,,4
La Salle,2005,1.037,,5
La Salle,2006,2.302,,4
La Salle,2007,1.056,,5
Lafayette,2003,2.21,,5
Lafayette,2004,3.0,,2
