TEAM,YEAR,EXP,AVG HGT,n_players
Montana State,2007,2.582,,5
Morehead State,2003,2.669,,3
Morehead State,2004,2.057,,3
Morehead State,2005,2.276,,4
Morehead State,2006,2.328,,3
Morehead State,2007,2.075,,3
Morgan State,2003,2.505,,2
Morgan State,2004,2.001,,4
Morgan State,2005,2.655,,3
Morgan State,2006,1.695,,3
Morgan State,2007,2.462,,5
Morris Brown,2003,3.0,,3
Mount St. Mary's,2003,0.0,,2
Mount St. Mary's,2004,0.778,,4
Mount St. Mary's,2005,1.549,,2
Mount St. Mary's,2006,1.794,,3
Mount St. Mary's,2007,1.576,,3
Murray State,2003,2.235,,5
Murray State,2004,3.0,,4
Murray State,2005,1.489,,2
Murray State,2006,1.97,,4
Murray State,2007,2.231,,4
NC State,2003,1.819,,5
NC State,2004,1.613,,4
NC State,2005,2.011,,3
NC State,2006,2.224,,6
NC State,2007,1.292,,5
NJIT,2007,0.782,,4
Navy,2003,3.0,,2
Navy,2005,1.37,,2
Navy,2006,1.0,,1
Navy,2007,1.296,,4
Nebraska,2003,1.5,,4
Nebraska,2004,2.496,,2
Nebraska,2005,1.467,,2
Nebraska,2006,1.875,,5
Nebraska,2007,2.566,,2
Nevada,2003,2.167,,5
Nevada,2004,2.04,,5
Nevada,2005,1.581,,6
Nevada,2006,1.821,,5
Nevada,2007,2.575,,5
New Hampshire,2003,2.0,,2
New Hampshire,2004,2.558,,2
New Hampshire,2005,0.962,,4
New Hampshire,2006,1.68,,3
New Hampshire,2007,1.837,,4
New Mexico,2003,1.767,,3
New Mexico,2004,2.047,,3
New Mexico,2005,2.597,,5
New Mexico,2006,2.423,,3
New Mexico,2007,1.763,,4
New Mexico State,2003,2.019,,2
New Mexico State,2004,2.064,,3
New Mexico State,2005,1.493,,4
New Mexico State,2006,1.967,,5
New Mexico State,2007,2.242,,4
New Orleans,2003,2.26,,4
New Orleans,2004,2.212,,5
New Orleans,2005,1.459,,4
New Orleans,2006,1.541,,2
New Orleans,2007,2.271,,4
Niagara,2003,1.425,,5
Niagara,2004,2.408,,5
Niagara,2005,2.29,,5
Niagara,2006,1.986,,5
Niagara,2007,2.295,,6
Nicholls State,2003,2.66,,3
Nicholls State,2004,2.294,,3
Nicholls State,2005,2.04,,4
Nicholls State,2006,1.69,,3
Nicholls State,2007,1.724,,4
Norfolk State,2003,1.741,,4
Norfolk State,2004,2.197,,5
Norfolk State,2005,1.574,,4
Norfolk State,2006,2.197,,3
Norfolk State,2007,2.239,,5
North Carolina,2003,0.398,,5
North Carolina,2004,1.377,,5
North Carolina,2005,2.017,,6
North Carolina,2006,1.291,,4
North Carolina,2007,0.739,,5
North Carolina A&T,2003,2.539,,2
North Carolina A&T,2005,1.652,,3
North Carolina A&T,2006,1.478,,2
North Carolina A&T,2007,2.417,,5
North Dakota State,2006,0.447,,4
North Dakota State,2007,1.478,,4
North Florida,2006,1.956,,3
North Florida,2007,1.229,,4
North Texas,2003,3.0,,2
North Texas,2004,2.523,,2
North Texas,2005,2.502,,2
North Texas,2006,2.465,,2
North Texas,2007,2.412,,5
Northeastern,2003,1.257,,4
Northeastern,2004,2.254,,4
Northeastern,2005,2.019,,3
Northeastern,2006,2.234,,5
Northeastern,2007,1.887,,5
Northern Arizona,2003,1.216,,4
Northern Arizona,2004,1.921,,2
Northern Arizona,2005,2.036,,3
Northern Arizona,2006,1.755,,5
Northern Arizona,2007,2.458,,4
Northern Colorado,2005,0.504,,2
Northern Colorado,2006,1.321,,3
Northern Illinois,2003,2.286,,3
Northern Illinois,2004,2.347,,3
Northern Illinois,2005,1.74,,4
Northern Illinois,2006,3.0,,3
Northern Illinois,2007,2.521,,4
Northern Iowa,2003,1.281,,4
Northern Iowa,2004,1.981,,4
Northern Iowa,2005,1.348,,4
Northern Iowa,2006,2.339,,6
Northern Iowa,2007,2.266,,5
Northwestern,2003,2.139,,5
Northwestern,2004,1.622,,5
Northwestern,2005,2.036,,5
Northwestern,2006,2.067,,4
Northwestern,2007,1.811,,4
Northwestern State,2003,0.0,,2
Northwestern State,2004,1.0,,1
Northwestern State,2005,2.0,,3
Northwestern State,2006,2.754,,4
Northwestern State,2007,2.667,,3
Notre Dame,2003,1.815,,4
Notre Dame,2004,1.968,,4
Notre Dame,2005,2.212,,5
Notre Dame,2006,2.517,,4
Notre Dame,2007,2.058,,4
Oakland,2003,1.348,,3
Oakland,2004,2.466,,4
Oakland,2005,3.0,,3
Oakland,2006,2.0,,1
Oakland,2007,1.56,,5
Ohio,2003,2.117,,5
Ohio,2004,2.314,,4
Ohio,2005,1.266,,6
Ohio,2006,2.069,,3
Ohio,2007,2.223,,5
Ohio State,2003,2.566,,4
Ohio State,2004,1.809,,5
Ohio State,2005,2.246,,4
Ohio State,2006,2.485,,6
Ohio State,2007,1.349,,6
Oklahoma,2003,2.294,,4
Oklahoma,2004,1.265,,3
Oklahoma,2005,1.773,,4
Oklahoma,2006,2.772,,4
Oklahoma,2007,1.745,,7
Oklahoma State,2003,2.389,,5
Oklahoma State,2004,2.21,,5
Oklahoma State,2005,2.512,,5
Oklahoma State,2006,1.253,,4
Oklahoma State,2007,1.996,,6
Old Dominion,2003,3.0,,2
Old Dominion,2004,1.67,,3
Old Dominion,2005,2.001,,4
Old Dominion,2006,2.229,,5
Old Dominion,2007,2.611,,5
Ole Miss,2003,1.841,,4
Ole Miss,2004,2.164,,3
Ole Miss,2005,1.478,,2
Ole Miss,2006,1.673,,3
Ole Miss,2007,2.809,,4
Oral Roberts,2003,2.521,,4
Oral Roberts,2004,1.014,,4
Oral Roberts,2005,1.717,,5
Oral Roberts,2006,2.521,,4
Oral Roberts,2007,2.564,,4
Oregon,2003,2.177,,5
Oregon,2004,2.535,,4
Oregon,2005,0.518,,2
Oregon,2006,1.495,,2
Oregon,2007,1.824,,5
Oregon State,2003,2.191,,4
Oregon State,2004,1.483,,4
Oregon State,2005,2.359,,3
Oregon State,2006,2.035,,4
Oregon State,2007,1.632,,4
Pacific,2003,2.457,,2
Pacific,2004,2.204,,5
Pacific,2005,2.794,,5
Pacific,2006,2.781,,4
Pacific,2007,1.653,,3
Penn State,2003,1.744,,3
Penn State,2004,0.592,,3
Penn State,2005,1.022,,5
Penn State,2006,1.567,,5
Penn State,2007,1.687,,4
Pennsylvania,2003,2.397,,5
Pennsylvania,2004,2.736,,4
Pennsylvania,2005,1.805,,4
Pennsylvania,2006,2.046,,5
Pennsylvania,2007,2.754,,4
Pepperdine,2003,1.702,,4
Pepperdine,2004,1.663,,3
Pepperdine,2005,2.637,,3
Pepperdine,2006,3.0,,1
Pepperdine,2007,2.781,,4
Pittsburgh,2003,2.485,,4
Pittsburgh,2004,1.914,,5
Pittsburgh,2005,1.503,,5
Pittsburgh,2006,2.065,,4
Pittsburgh,2007,2.325,,6
Portland,2003,1.527,,4
Portland,2004,2.008,,4
Portland,2005,1.696,,3
Portland,2006,2.717,,3
Portland,2007,1.054,,3
Portland State,2003,2.722,,3
Portland State,2004,2.0,,4
Portland State,2005,3.0,,3
Portland State,2006,2.036,,3
Portland State,2007,2.202,,5
Prairie View A&M,2003,2.537,,4
Prairie View A&M,2004,1.621,,2
Prairie View A&M,2005,2.0,,1
Prairie View A&M,2006,1.444,,2
Prairie View A&M,2007,1.438,,2
Princeton,2003,2.057,,3
Princeton,2004,1.665,,3
Princeton,2005,1.839,,3
Princeton,2006,1.642,,3
Princeton,2007,0.805,,3
Providence,2003,0.935,,4
Providence,2004,2.202,,4
Providence,2005,2.36,,4
Providence,2006,1.092,,3
Providence,2007,1.492,,4
Purdue,2003,2.359,,3
Purdue,2004,1.986,,3
Purdue,2005,2.384,,3
Purdue,2006,2.02,,3
Purdue,2007,1.75,,5
Quinnipiac,2003,1.79,,5
Quinnipiac,2004,2.537,,4
Quinnipiac,2005,2.541,,2
Quinnipiac,2006,2.245,,4
Quinnipiac,2007,2.51,,2
Radford,2003,1.396,,4
Radford,2004,1.718,,4
Radford,2005,2.017,,3
Radford,2006,2.422,,5
Radford,2007,1.666,,5
Rhode Island,2003,1.959,,5
Rhode Island,2004,2.312,,3
Rhode Island,2005,1.535,,2
Rhode Island,2006,2.384,,3
Rhode Island,2007,1.499,,4
Rice,2003,1.73,,3
Rice,2004,2.255,,4
Rice,2005,2.76,,4
Rice,2006,2.057,,4
Rice,2007,2.707,,3
Richmond,2003,2.354,,3
Richmond,2004,3.0,,3
Richmond,2005,2.49,,2
Richmond,2006,2.198,,4
Richmond,2007,0.619,,5
Rider,2003,1.719,,4
Rider,2004,1.747,,4
Rider,2005,1.888,,5
Rider,2006,2.239,,4
Rider,2007,1.466,,5
Robert Morris,2003,1.716,,4
Robert Morris,2004,2.344,,3
Robert Morris,2005,2.487,,4
Robert Morris,2006,1.001,,4
Robert Morris,2007,2.025,,4
Rutgers,2003,2.016,,4
Rutgers,2004,1.614,,5
Rutgers,2005,1.307,,4
Rutgers,2006,1.39,,3
Rutgers,2007,1.795,,5
SMU,2003,1.274,,5
SMU,2004,1.983,,5
SMU,2005,2.738,,4
SMU,2006,1.699,,4
SMU,2007,2.401,,5
Sacramento State,2003,2.765,,4
Sacramento State,2004,3.0,,2
Sacramento State,2005,1.506,,2
Sacramento State,2006,2.662,,3
Sacramento State,2007,3.0,,2
Sacred Heart,2003,2.0,,2
Sacred Heart,2004,3.0,,2
Sacred Heart,2005,1.0,,1
Sacred Heart,2006,1.985,,4
Sacred Heart,2007,2.642,,3
Saint Francis (PA),2003,1.541,,3
Saint Francis (PA),2004,1.958,,4
Saint Francis (PA),2005,2.316,,3
Saint Francis (PA),2006,2.09,,4
Saint Francis (PA),2007,0.632,,3
Saint Joseph's,2003,1.535,,4
Saint Joseph's,2004,2.215,,5
Saint Joseph's,2005,2.252,,4
Saint Joseph's,2006,2.085,,4
Saint Joseph's,2007,0.948,,6
Saint Louis,2003,2.079,,5
Saint Louis,2004,2.338,,4
Saint Louis,2005,1.953,,4
Saint Louis,2006,1.205,,4
Saint Louis,2007,1.746,,5
Saint Peter's,2003,1.795,,3
Saint Peter's,2004,0.565,,2
Saint Peter's,2005,2.462,,2
Saint Peter's,2006,1.634,,4
Saint Peter's,2007,1.719,,4
Sam Houston State,2003,3.0,,3
Sam Houston State,2004,2.0,,1
Sam Houston State,2005,2.528,,2
Sam Houston State,2006,1.754,,4
Sam Houston State,2007,2.477,,4
Samford,2003,1.751,,4
Samford,2004,2.039,,5
Samford,2005,1.942,,3
Samford,2006,1.886,,5
Samford,2007,2.431,,5
San Diego,2003,2.639,,5
San Diego,2004,1.423,,5
San Diego,2005,2.213,,5
San Diego,2006,2.095,,4
San Diego,2007,1.718,,3
San Diego State,2003,2.779,,4
San Diego State,2004,1.503,,5
San Diego State,2005,1.291,,3
San Diego State,2006,1.736,,4
San Diego State,2007,1.898,,6
San Francisco,2003,2.262,,4
San Francisco,2004,2.474,,4
San Francisco,2005,2.717,,3
San Francisco,2006,2.449,,4
San Francisco,2007,2.008,,4
San Jose State,2003,3.0,,1
San Jose State,2004,2.508,,2
San Jose State,2005,2.65,,3
San Jose State,2006,2.488,,2
San Jose State,2007,2.327,,3
Santa Clara,2003,0.514,,2
Santa Clara,2004,1.694,,3
Santa Clara,2005,2.774,,4
Santa Clara,2006,1.684,,3
Santa Clara,2007,2.532,,4
Savannah State,2003,0.0,,1
Savannah State,2004,1.0,,1
Savannah State,2005,3.0,,1
Savannah State,2006,1.07,,4
Savannah State,2007,2.691,,3
Seton Hall,2003,1.256,,4
Seton Hall,2004,2.233,,5
Seton Hall,2005,2.677,,3
Seton Hall,2006,2.449,,3
Seton Hall,2007,1.544,,5
Siena,2003,1.141,,4
Siena,2004,2.269,,4
Siena,2005,0.919,,2
Siena,2006,1.424,,5
Siena,2007,1.383,,5
South Alabama,2003,2.368,,3
South Alabama,2004,3.0,,1
South Alabama,2005,1.702,,3
South Alabama,2006,2.669,,3
South Alabama,2007,2.461,,4
South Carolina,2003,2.072,,3
South Carolina,2004,2.483,,4
South Carolina,2005,1.821,,4
South Carolina,2006,2.397,,5
South Carolina,2007,2.329,,4
South Carolina State,2003,2.019,,3
South Carolina State,2004,1.26,,4
South Carolina State,2005,2.178,,5
South Carolina State,2006,2.021,,3
South Carolina State,2007,2.039,,4
South Dakota State,2006,0.887,,2
South Dakota State,2007,0.363,,3
South Florida,2003,2.64,,3
South Florida,2004,2.23,,4
South Florida,2005,2.788,,4
South Florida,2006,2.429,,5
South Florida,2007,2.074,,3
Southeast Missouri State,2003,1.38,,5
Southeast Missouri State,2004,2.0,,2
Southeast Missouri State,2005,2.257,,4
Southeast Missouri State,2006,2.012,,3
Southeast Missouri State,2007,2.31,,3
Southeastern Louisiana,2003,2.0,,2
Southeastern Louisiana,2004,2.768,,4
Southeastern Louisiana,2005,2.344,,5
Southeastern Louisiana,2006,2.513,,4
Southeastern Louisiana,2007,3.0,,3
Southern,2003,1.398,,5
Southern,2004,2.362,,3
Southern,2005,2.325,,3
Southern,2006,2.765,,4
Southern,2007,1.45,,3
Southern California,2003,1.378,,3
Southern California,2004,2.385,,3
Southern California,2005,0.355,,3
Southern California,2006,0.985,,4
Southern California,2007,1.276,,6
Southern Illinois,2003,1.98,,4
Southern Illinois,2004,2.289,,3
Southern Illinois,2005,2.25,,5
Southern Illinois,2006,1.2,,5
Southern Illinois,2007,2.186,,5
Southern Mississippi,2003,1.523,,4
Southern Mississippi,2004,2.366,,3
Southern Mississippi,2005,2.0,,2
Southern Mississippi,2006,1.532,,3
Southern Mississippi,2007,0.229,,4
Southern Utah,2003,2.69,,3
Southern Utah,2004,2.336,,3
Southern Utah,2005,2.687,,3
Southern Utah,2006,2.261,,4
Southern Utah,2007,2.673,,3
Southwest Missouri State,2003,2.363,,3
Southwest Missouri State,2004,2.197,,3
Southwest Missouri State,2005,2.27,,4
Southwest Texas State,2003,2.37,,3
St. Bonaventure,2003,1.994,,3
St. Bonaventure,2004,1.817,,4
St. Bonaventure,2005,2.0,,2
St. Bonaventure,2006,2.065,,3
St. Bonaventure,2007,1.973,,4
St. Francis Brooklyn,2003,2.411,,4
St. Francis Brooklyn,2004,1.994,,3
St. Francis Brooklyn,2005,2.164,,2
St. Francis Brooklyn,2006,3.0,,1
St. Francis Brooklyn,2007,1.992,,4
St. John's (NY),2003,2.0,,4
St. John's (NY),2004,1.459,,2
St. John's (NY),2005,0.548,,4
St. John's (NY),2006,1.476,,2
St. John's (NY),2007,1.978,,4
St. Mary's (CA),2003,1.337,,3
St. Mary's (CA),2004,1.998,,6
St. Mary's (CA),2005,2.652,,6
St. Mary's (CA),2006,2.007,,3
St. Mary's (CA),2007,1.603,,5
Stanford,2003,1.698,,5
Stanford,2004,2.015,,4
Stanford,2005,2.394,,5
Stanford,2006,3.0,,3
Stanford,2007,1.045,,5
Stephen F. Austin,2003,1.029,,2
Stephen F. Austin,2004,2.373,,3
Stephen F. Austin,2005,1.68,,3
Stephen F. Austin,2006,2.043,,4
Stephen F. Austin,2007,1.473,,2
Stetson,2004,1.0,,2
Stetson,2005,1.76,,4
Stetson,2006,2.688,,3
Stetson,2007,2.021,,2
Stony Brook,2003,0.954,,2
Stony Brook,2004,1.372,,4
Stony Brook,2005,1.787,,5
Stony Brook,2006,2.515,,2
Stony Brook,2007,2.334,,3
Syracuse,2003,0.865,,4
Syracuse,2004,1.663,,3
Syracuse,2005,2.666,,3
Syracuse,2006,1.88,,5
Syracuse,2007,1.968,,7
TCU,2003,2.299,,3
TCU,2004,2.297,,3
TCU,2005,2.677,,3
TCU,2006,2.036,,4
TCU,2007,1.65,,3
Temple,2003,1.705,,4
Temple,2004,1.996,,2
Temple,2005,1.205,,5
Temple,2006,2.269,,4
Temple,2007,2.253,,4
Tennessee,2003,1.946,,5
Tennessee,2004,1.645,,3
Tennessee,2005,1.706,,4
Tennessee,2006,2.178,,5
Tennessee,2007,1.755,,4
Tennessee State,2003,1.994,,3
Tennessee State,2004,1.655,,3
Tennessee State,2005,2.148,,5
Tennessee State,2006,2.275,,4
Tennessee State,2007,2.196,,5
Tennessee Tech,2003,2.681,,3
Tennessee Tech,2004,2.657,,3
Tennessee Tech,2005,2.277,,4
Tennessee Tech,2006,2.367,,3
Tennessee Tech,2007,2.349,,3
Texas,2003,1.703,,4
Texas,2004,2.17,,3
Texas,2005,1.921,,4
Texas,2006,1.669,,6
Texas,2007,0.219,,5
Texas A&M,2003,1.459,,2
Texas A&M,2004,1.0,,1
Texas A&M,2005,1.249,,5
Texas A&M,2006,1.367,,3
Texas A&M,2007,2.221,,5
Texas A&M–Corpus Christi,2003,1.524,,4
Texas A&M–Corpus Christi,2004,3.0,,1
Texas A&M–Corpus Christi,2005,3.0,,3
Texas A&M–Corpus Christi,2007,2.79,,5
Texas Southern,2003,2.321,,3
Texas Southern,2004,1.0,,1
Texas Southern,2005,1.781,,3
Texas Southern,2006,2.065,,3
Texas Southern,2007,2.467,,4
Texas State San Marcos,2004,2.0,,1
Texas State San Marcos,2005,2.534,,2
Texas State San Marcos,2006,2.0,,1
Texas State San Marcos,2007,1.939,,2
Texas Tech,2003,2.5,,4
Texas Tech,2004,1.954,,5
Texas Tech,2005,1.586,,5
Texas Tech,2006,1.649,,3
Texas Tech,2007,2.37,,3
Texas–Pan American,2003,2.43,,5
Texas–Pan American,2004,2.464,,2
Texas–Pan American,2005,3.0,,2
Texas–Pan American,2006,1.509,,2
Texas–Pan American,2007,2.228,,4
The Citadel,2003,0.977,,2
The Citadel,2004,1.208,,4
The Citadel,2005,1.479,,2
The Citadel,2006,2.64,,3
The Citadel,2007,3.0,,3
Toledo,2003,1.415,,3
Toledo,2004,1.04,,3
Toledo,2005,2.06,,2
Toledo,2006,1.724,,4
Toledo,2007,2.755,,4
Towson,2003,0.995,,2
Towson,2004,1.297,,3
Towson,2005,1.669,,3
Towson,2006,1.3,,4
Towson,2007,2.579,,4
Troy,2006,2.543,,4
Troy,2007,2.623,,5
Troy State,2003,2.337,,3
Troy State,2004,3.0,,4
Troy State,2005,2.574,,5
Tulane,2003,2.79,,4
Tulane,2004,2.507,,2
Tulane,2005,1.597,,3
Tulane,2006,1.998,,3
Tulane,2007,1.681,,3
Tulsa,2003,2.433,,5
Tulsa,2004,2.074,,3
Tulsa,2005,1.79,,3
Tulsa,2006,1.667,,3
Tulsa,2007,1.014,,2
UAB,2003,1.693,,3
UAB,2004,1.992,,4
UAB,2005,2.248,,4
UAB,2006,3.0,,2
UAB,2007,2.005,,3
UC Davis,2005,2.404,,3
UC Davis,2006,1.301,,4
UC Davis,2007,1.0,,1
UC Irvine,2003,2.016,,4
UC Irvine,2004,1.891,,2
UC Irvine,2005,2.231,,4
UC Irvine,2006,2.257,,4
UC Irvine,2007,1.764,,4
UC Riverside,2003,0.0,,1
UC Riverside,2004,1.951,,3
UC Riverside,2005,2.0,,2
UC Riverside,2006,2.39,,3
UC Riverside,2007,1.572,,4
UC Santa Barbara,2003,2.299,,4
UC Santa Barbara,2005,1.769,,3
UC Santa Barbara,2006,1.483,,4
UC Santa Barbara,2007,1.081,,3
UCLA,2003,2.078,,2
UCLA,2004,1.407,,3
UCLA,2005,0.79,,4
UCLA,2006,0.961,,5
UCLA,2007,1.383,,5
UMBC,2003,1.531,,2
UMBC,2004,1.086,,3
UMBC,2005,3.0,,2
UMBC,2006,1.892,,6
UMBC,2007,2.036,,5
UNC Asheville,2003,2.269,,5
UNC Asheville,2004,0.999,,5
UNC Asheville,2005,1.0,,1
UNC Asheville,2006,2.811,,5
UNC Asheville,2007,2.282,,3
UNC Greensboro,2003,2.528,,2
UNC Greensboro,2004,2.68,,3
UNC Greensboro,2005,1.728,,5
UNC Greensboro,2006,1.253,,4
UNC Greensboro,2007,1.777,,4
UNC Wilmington,2003,2.074,,4
UNC Wilmington,2004,1.458,,2
UNC Wilmington,2005,2.622,,3
UNC Wilmington,2006,2.332,,4
UNC Wilmington,2007,2.359,,3
UNLV,2003,2.807,,4
UNLV,2004,2.0,,3
UNLV,2005,2.449,,5
UNLV,2006,1.467,,4
UNLV,2007,2.505,,5
UT Arlington,2003,2.421,,5
UT Arlington,2004,2.419,,3
UT Arlington,2005,2.0,,3
UT Arlington,2006,3.0,,3
UT Arlington,2007,1.459,,4
UT Martin,2003,2.196,,5
UT Martin,2004,1.678,,3
UT Martin,2005,2.0,,1
UT Martin,2006,3.0,,2
UT Martin,2007,2.775,,4
UTEP,2003,1.391,,5
UTEP,2004,1.996,,5
UTEP,2005,2.381,,6
UTEP,2006,2.669,,3
UTEP,2007,1.513,,4
UTSA,2003,3.0,,3
UTSA,2004,1.834,,6
UTSA,2005,3.0,,2
UTSA,2006,3.0,,1
UTSA,2007,2.264,,4
Utah,2003,2.472,,4
Utah,2004,1.602,,5
Utah,2005,1.842,,5
Utah,2006,1.423,,3
Utah,2007,1.708,,4
Utah State,2003,2.226,,5
Utah State,2004,2.374,,3
Utah State,2005,1.654,,3
Utah State,2006,2.368,,5
Utah State,2007,2.46,,6
Utah Valley State,2005,1.135,,3
Utah Valley State,2006,1.461,,4
Utah Valley State,2007,1.69,,3
VCU,2003,1.993,,5
VCU,2004,1.894,,5
VCU,2005,1.794,,5
VCU,2006,2.334,,3
VCU,2007,2.145,,6
VMI,2003,2.0,,3
VMI,2004,2.095,,3
VMI,2005,0.47,,2
VMI,2006,1.485,,2
VMI,2007,1.788,,4
Valparaiso,2003,2.211,,5
Valparaiso,2004,1.984,,3
Valparaiso,2005,2.0,,3
Valparaiso,2006,3.0,,3
Valparaiso,2007,1.043,,5
Vanderbilt,2003,2.0,,2
Vanderbilt,2004,2.262,,4
Vanderbilt,2005,2.056,,4
Vanderbilt,2006,1.729,,4
Vanderbilt,2007,2.426,,5
Vermont,2003,1.758,,4
Vermont,2004,2.0,,4
Vermont,2005,2.696,,5
Vermont,2006,0.937,,4
Vermont,2007,2.167,,4
Villanova,2003,1.247,,4
Villanova,2004,0.643,,5
Villanova,2005,1.617,,5
Villanova,2006,2.244,,5
Villanova,2007,1.846,,6
Virginia,2003,2.034,,3
Virginia,2004,1.818,,3
Virginia,2005,1.707,,4
Virginia,2006,1.493,,4
Virginia,2007,2.239,,4
Virginia Tech,2003,2.476,,4
Virginia Tech,2004,1.084,,4
Virginia Tech,2005,1.259,,5
Virginia Tech,2006,1.766,,4
Virginia Tech,2007,2.447,,5
Wagner,2003,2.426,,5
Wagner,2004,3.0,,3
Wagner,2005,1.385,,5
Wagner,2006,1.985,,3
Wagner,2007,1.783,,5
Wake Forest,2003,1.512,,4
Wake Forest,2004,1.177,,5
Wake Forest,2005,2.141,,5
Wake Forest,2006,2.39,,5
Wake Forest,2007,0.793,,4
Washington,2003,1.516,,2
Washington,2004,1.204,,5
Washington,2005,2.493,,4
Washington,2006,1.715,,6
Washington,2007,0.84,,5
Washington State,2003,1.0,,1
Washington State,2004,2.279,,4
Washington State,2005,2.151,,3
Washington State,2006,1.0,,2
Washington State,2007,1.987,,5
Weber State,2003,2.364,,3
Weber State,2004,3.0,,3
Weber State,2005,2.409,,5
Weber State,2006,3.0,,1
Weber State,2007,2.18,,5
West Virginia,2003,0.422,,5
West Virginia,2004,1.422,,5
West Virginia,2005,2.215,,5
West Virginia,2006,2.857,,6
West Virginia,2007,1.699,,6
Western Carolina,2003,2.033,,2
Western Carolina,2004,1.052,,3
Western Carolina,2005,1.009,,3
Western Carolina,2006,2.218,,4
Western Carolina,2007,0.951,,2
Western Illinois,2003,2.0,,1
Western Illinois,2004,0.0,,1
Western Illinois,2005,1.551,,2
Western Illinois,2006,1.923,,3
Western Illinois,2007,2.491,,4
Western Kentucky,2003,2.335,,5
Western Kentucky,2004,2.019,,3
Western Kentucky,2005,1.789,,5
Western Kentucky,2006,2.022,,4
Western Kentucky,2007,2.0,,3
Western Michigan,2003,2.074,,4
Western Michigan,2004,2.302,,6
Western Michigan,2005,2.347,,5
Western Michigan,2006,2.037,,4
Western Michigan,2007,1.044,,4
Wichita State,2003,1.0,,2
Wichita State,2004,2.239,,4
Wichita State,2005,2.425,,5
Wichita State,2006,1.703,,7
Wichita State,2007,2.422,,5
William & Mary,2003,2.619,,3
William & Mary,2004,2.082,,4
William & Mary,2005,1.99,,3
William & Mary,2006,0.0,,1
William & Mary,2007,1.818,,4
Winthrop,2003,3.0,,1
Winthrop,2004,3.0,,2
Winthrop,2005,0.973,,3
Winthrop,2006,1.998,,4
Winthrop,2007,2.573,,5
Wisconsin,2003,1.415,,5
Wisconsin,2004,1.958,,5
Wisconsin,2005,2.344,,6
Wisconsin,2006,1.821,,5
Wisconsin,2007,2.396,,4
Wofford,2003,2.431,,3
Wofford,2004,1.0,,1
Wofford,2005,3.0,,2
Wofford,2006,2.119,,5
Wofford,2007,1.314,,4
Wright State,2003,2.264,,3
Wright State,2004,1.568,,4
Wright State,2005,1.376,,6
Wright State,2006,1.718,,3
Wright State,2007,1.688,,5
Wyoming,2003,2.256,,4
Wyoming,2004,2.467,,2
Wyoming,2005,3.0,,2
Wyoming,2006,1.39,,4
Wyoming,2007,1.647,,3
Xavier,2003,1.814,,5
Xavier,2004,1.848,,6
Xavier,2005,1.016,,4
Xavier,2006,1.653,,3
Xavier,2007,2.48,,4
Yale,2003,1.0,,1
Yale,2004,2.311,,3
Yale,2005,2.695,,3
Yale,2006,1.0,,1
Yale,2007,2.0,,1
Youngstown State,2003,1.975,,4
Youngstown State,2004,3.0,,1
Youngstown State,2005,1.94,,4
Youngstown State,2006,2.347,,3
Youngstown State,2007,2.546,,4
