TEAM,ELITE SOS,YEAR
Michigan,35.0,2012
Michigan St.,35.0,2012
Kansas,34.0,2012
Ohio St.,34.0,2012
Louisville,33.0,2012
Penn St.,32.0,2012
Oklahoma St.,32.0,2012
Indiana,32.0,2012
Wisconsin,32.0,2012
Nebraska,32.0,2012
Baylor,32.0,2012
Purdue,31.0,2012
Illinois,31.0,2012
Texas,31.0,2012
Vanderbilt,31.0,2012
Villanova,31.0,2012
Georgetown,31.0,2012
Northwestern,30.0,2012
Kentucky,30.0,2012
Florida,30.0,2012
Duke,30.0,2012
Marquette,30.0,2012
Iowa,30.0,2012
Minnesota,30.0,2012
Georgia,30.0,2012
South Florida,30.0,2012
Texas A&M,29.0,2012
Florida St.,29.0,2012
Cincinnati,29.0,2012
St. John's,29.0,2012
Connecticut,29.0,2012
North Carolina,29.0,2012
Kansas St.,29.0,2012
Syracuse,29.0,2012
Notre Dame,29.0,2012
Tennessee,29.0,2012
South Carolina,29.0,2012
Iowa St.,28.0,2012
Oklahoma,28.0,2012
West Virginia,28.0,2012
N.C. State,28.0,2012
Alabama,27.0,2012
Maryland,27.0,2012
Xavier,27.0,2012
Texas Tech,27.0,2012
Rutgers,26.0,2012
Providence,26.0,2012
Miami FL,26.0,2012
George Washington,26.0,2012
LSU,26.0,2012
Pittsburgh,26.0,2012
Mississippi,26.0,2012
Virginia Tech,26.0,2012
Virginia,26.0,2012
Missouri,26.0,2012
Seton Hall,25.0,2012
Temple,25.0,2012
USC,25.0,2012
Auburn,25.0,2012
Marshall,24.0,2012
DePaul,24.0,2012
Northern Iowa,24.0,2012
UNLV,24.0,2012
Colorado,24.0,2012
Boston College,23.0,2012
Georgia Tech,23.0,2012
Duquesne,23.0,2012
Saint Louis,23.0,2012
Massachusetts,23.0,2012
Portland,23.0,2012
Utah,23.0,2012
UAB,23.0,2012
California,22.0,2012
Memphis,22.0,2012
Washington St.,22.0,2012
Richmond,22.0,2012
Arkansas,22.0,2012
Mississippi St.,22.0,2012
Bradley,22.0,2012
Charlotte,22.0,2012
San Diego St.,22.0,2012
Colorado St.,22.0,2012
Saint Joseph's,22.0,2012
St. Bonaventure,22.0,2012
Arizona,22.0,2012
Washington,22.0,2012
UCLA,22.0,2012
Dayton,22.0,2012
Oregon,22.0,2012
Missouri St.,22.0,2012
UCF,21.0,2012
Wake Forest,21.0,2012
Long Beach St.,21.0,2012
Towson,21.0,2012
Boise St.,21.0,2012
Air Force,21.0,2012
North Florida,21.0,2012
Creighton,21.0,2012
Indiana St.,21.0,2012
Southern Illinois,21.0,2012
Miami OH,21.0,2012
Jacksonville,21.0,2012
Evansville,21.0,2012
Clemson,21.0,2012
Rhode Island,21.0,2012
Fordham,21.0,2012
Drake,21.0,2012
Arizona St.,20.0,2012
Illinois St.,20.0,2012
Oregon St.,20.0,2012
Kennesaw St.,20.0,2012
UTEP,20.0,2012
Wichita St.,20.0,2012
La Salle,20.0,2012
TCU,20.0,2012
Stanford,20.0,2012
Southern Miss,20.0,2012
Green Bay,19.0,2012
Florida Atlantic,19.0,2012
Akron,19.0,2012
New Mexico,19.0,2012
BYU,19.0,2012
Gonzaga,19.0,2012
Wyoming,19.0,2012
Western Michigan,19.0,2012
Stetson,19.0,2012
Buffalo,18.0,2012
Lipscomb,18.0,2012
Northeastern,18.0,2012
Arkansas St.,18.0,2012
Butler,18.0,2012
Saint Mary's,18.0,2012
Austin Peay,18.0,2012
Princeton,18.0,2012
East Carolina,18.0,2012
VCU,18.0,2012
Santa Clara,18.0,2012
Loyola Marymount,17.0,2012
Old Dominion,17.0,2012
UNC Greensboro,17.0,2012
Cleveland St.,17.0,2012
Milwaukee,17.0,2012
Wright St.,17.0,2012
Cornell,17.0,2012
Rice,17.0,2012
Tulsa,17.0,2012
UNC Wilmington,17.0,2012
Ohio,17.0,2012
Howard,17.0,2012
Belmont,17.0,2012
Bowling Green,17.0,2012
Chicago St.,17.0,2012
William & Mary,17.0,2012
Little Rock,17.0,2012
Jackson St.,17.0,2012
Western Kentucky,16.0,2012
Nebraska Omaha,16.0,2012
Detroit Mercy,16.0,2012
Tennessee St.,16.0,2012
UMKC,16.0,2012
Penn,16.0,2012
SMU,16.0,2012
Eastern Michigan,16.0,2012
USC Upstate,16.0,2012
San Diego,16.0,2012
Florida Gulf Coast,16.0,2012
Louisiana Monroe,16.0,2012
Pepperdine,16.0,2012
Mississippi Valley St.,16.0,2012
Bucknell,16.0,2012
Davidson,16.0,2012
Yale,15.0,2012
Mercer,15.0,2012
Valparaiso,15.0,2012
Loyola MD,15.0,2012
UC Irvine,15.0,2012
Monmouth,15.0,2012
Fresno St.,15.0,2012
Eastern Washington,15.0,2012
Middle Tennessee,15.0,2012
Oakland,15.0,2012
IU Indy,15.0,2012
Central Michigan,15.0,2012
Chattanooga,15.0,2012
East Tennessee St.,15.0,2012
UC Santa Barbara,15.0,2012
Lamar,15.0,2012
San Francisco,15.0,2012
FIU,15.0,2012
Elon,15.0,2012
Texas Southern,15.0,2012
James Madison,15.0,2012
Hofstra,15.0,2012
Saint Francis,15.0,2012
Tennessee Martin,15.0,2012
Harvard,15.0,2012
Troy,15.0,2012
Robert Morris,15.0,2012
Western Illinois,15.0,2012
New Mexico St.,15.0,2012
Rider,15.0,2012
Northern Colorado,14.0,2012
Loyola Chicago,14.0,2012
Tulane,14.0,2012
Northwestern St.,14.0,2012
Nevada,14.0,2012
Illinois Chicago,14.0,2012
Lafayette,14.0,2012
George Mason,14.0,2012
Niagara,14.0,2012
Kent St.,14.0,2012
Iona,14.0,2012
Delaware,14.0,2012
UNC Asheville,14.0,2012
Saint Peter's,14.0,2012
Fairfield,14.0,2012
Central Connecticut,14.0,2012
Purdue Fort Wayne,14.0,2012
South Alabama,14.0,2012
Marist,14.0,2012
Longwood,14.0,2012
Colgate,14.0,2012
South Dakota St.,14.0,2012
Tennessee Tech,14.0,2012
Lehigh,14.0,2012
Oral Roberts,14.0,2012
Western Carolina,14.0,2012
Savannah St.,14.0,2012
Nicholls St.,14.0,2012
Idaho,14.0,2012
North Carolina A&T,14.0,2012
Norfolk St.,14.0,2012
Boston University,13.0,2012
Sam Houston St.,13.0,2012
Houston,13.0,2012
Charleston Southern,13.0,2012
Drexel,13.0,2012
Youngstown St.,13.0,2012
Coppin St.,13.0,2012
Louisiana Tech,13.0,2012
UT Rio Grande Valley,13.0,2012
Hawaii,13.0,2012
Idaho St.,13.0,2012
UC Davis,13.0,2012
UC Riverside,13.0,2012
San Jose St.,13.0,2012
Louisiana,13.0,2012
Columbia,13.0,2012
Bryant,13.0,2012
Winthrop,13.0,2012
North Carolina Central,13.0,2012
Manhattan,13.0,2012
North Texas,13.0,2012
Holy Cross,13.0,2012
Southern Utah,13.0,2012
Appalachian St.,13.0,2012
Radford,13.0,2012
Canisius,13.0,2012
Utah St.,13.0,2012
Wofford,13.0,2012
Charleston,13.0,2012
Maryland Eastern Shore,13.0,2012
Mount St. Mary's,12.0,2012
South Carolina St.,12.0,2012
Pacific,12.0,2012
Georgia St.,12.0,2012
Portland St.,12.0,2012
Northern Illinois,12.0,2012
Samford,12.0,2012
Navy,12.0,2012
McNeese St.,12.0,2012
Murray St.,12.0,2012
Cal St. Northridge,12.0,2012
UT Arlington,12.0,2012
Brown,12.0,2012
American,12.0,2012
North Dakota,12.0,2012
Texas A&M Corpus Chris,12.0,2012
Dartmouth,12.0,2012
Vermont,12.0,2012
North Dakota St.,12.0,2012
Georgia Southern,12.0,2012
Morgan St.,12.0,2012
Central Arkansas,12.0,2012
Morehead St.,12.0,2012
South Dakota,12.0,2012
Bethune Cookman,12.0,2012
LIU,12.0,2012
Seattle,12.0,2012
Fairleigh Dickinson,12.0,2012
Denver,12.0,2012
Weber St.,12.0,2012
Cal St. Bakersfield,11.0,2012
VMI,11.0,2012
Arkansas Pine Bluff,11.0,2012
Presbyterian,11.0,2012
Alabama St.,11.0,2012
Campbell,11.0,2012
Gardner Webb,11.0,2012
Siena,11.0,2012
Cal Poly,11.0,2012
Furman,11.0,2012
Houston Christian,11.0,2012
Jacksonville St.,11.0,2012
Southeast Missouri St.,11.0,2012
The Citadel,11.0,2012
Ball St.,11.0,2012
High Point,11.0,2012
Prairie View A&M,11.0,2012
UTSA,11.0,2012
Quinnipiac,11.0,2012
Montana,11.0,2012
Cal St. Fullerton,11.0,2012
Wagner,11.0,2012
Stony Brook,11.0,2012
Northern Arizona,11.0,2012
Delaware St.,11.0,2012
NJIT,10.0,2012
Albany,10.0,2012
Montana St.,10.0,2012
UMBC,10.0,2012
Sacred Heart,10.0,2012
Florida A&M,10.0,2012
Maine,10.0,2012
Utah Valley,10.0,2012
Hartford,10.0,2012
Eastern Kentucky,10.0,2012
Army,10.0,2012
Texas St.,10.0,2012
Southeastern Louisiana,10.0,2012
Stephen F. Austin,9.0,2012
Coastal Carolina,9.0,2012
Eastern Illinois,9.0,2012
Sacramento St.,9.0,2012
Toledo,9.0,2012
Binghamton,9.0,2012
St. Francis NY,9.0,2012
Liberty,9.0,2012
Alabama A&M,9.0,2012
Grambling St.,9.0,2012
SIU Edwardsville,9.0,2012
Alcorn St.,8.0,2012
Hampton,8.0,2012
New Hampshire,8.0,2012
Southern,7.0,2012
