TEAM,ELITE SOS,YEAR
Iowa St.,39.0,2017
Oklahoma,39.0,2017
Texas,38.0,2017
Oklahoma St.,38.0,2017
Duke,37.0,2017
Virginia,37.0,2017
North Carolina,37.0,2017
Kansas,37.0,2017
Louisville,36.0,2017
Florida,36.0,2017
Baylor,36.0,2017
Kansas St.,35.0,2017
Pittsburgh,35.0,2017
Notre Dame,35.0,2017
Xavier,35.0,2017
Wake Forest,35.0,2017
Clemson,35.0,2017
Michigan St.,35.0,2017
West Virginia,34.0,2017
Miami FL,34.0,2017
Michigan,34.0,2017
Wisconsin,34.0,2017
Vanderbilt,34.0,2017
TCU,33.0,2017
Tennessee,33.0,2017
Butler,33.0,2017
Nebraska,33.0,2017
Virginia Tech,33.0,2017
Kentucky,33.0,2017
Seton Hall,33.0,2017
Indiana,33.0,2017
Georgia,32.0,2017
Florida St.,32.0,2017
St. John's,32.0,2017
Georgetown,32.0,2017
Boston College,31.0,2017
South Carolina,31.0,2017
Purdue,31.0,2017
Marquette,31.0,2017
Texas Tech,31.0,2017
N.C. State,31.0,2017
Villanova,31.0,2017
Arkansas,30.0,2017
Georgia Tech,30.0,2017
Northwestern,30.0,2017
Texas A&M,30.0,2017
Providence,30.0,2017
Syracuse,30.0,2017
Creighton,29.0,2017
Penn St.,29.0,2017
Stanford,29.0,2017
LSU,29.0,2017
Minnesota,29.0,2017
DePaul,29.0,2017
Illinois,29.0,2017
Iowa,28.0,2017
Rutgers,28.0,2017
Ohio St.,28.0,2017
Maryland,27.0,2017
Washington,27.0,2017
Auburn,27.0,2017
Mississippi,27.0,2017
Arizona,27.0,2017
Alabama,27.0,2017
Oregon,27.0,2017
Arizona St.,26.0,2017
Missouri,26.0,2017
UCLA,26.0,2017
Connecticut,26.0,2017
USC,25.0,2017
Tulsa,25.0,2017
Cincinnati,25.0,2017
California,24.0,2017
Mississippi St.,24.0,2017
Temple,24.0,2017
Washington St.,24.0,2017
Gonzaga,24.0,2017
Oregon St.,23.0,2017
Colorado,23.0,2017
Northern Iowa,23.0,2017
Tulane,22.0,2017
SMU,22.0,2017
UCF,22.0,2017
Rhode Island,22.0,2017
Memphis,22.0,2017
Pacific,22.0,2017
Davidson,22.0,2017
East Carolina,22.0,2017
Santa Clara,21.0,2017
Saint Joseph's,21.0,2017
Dayton,20.0,2017
Houston,20.0,2017
Utah,20.0,2017
VCU,20.0,2017
Portland,20.0,2017
South Florida,20.0,2017
Boise St.,20.0,2017
Southern Illinois,20.0,2017
San Diego,20.0,2017
Saint Mary's,20.0,2017
New Mexico,20.0,2017
Loyola Marymount,20.0,2017
Long Beach St.,19.0,2017
Bradley,19.0,2017
Fresno St.,19.0,2017
BYU,19.0,2017
Richmond,19.0,2017
Pepperdine,19.0,2017
Indiana St.,19.0,2017
La Salle,19.0,2017
Wichita St.,18.0,2017
UNLV,18.0,2017
George Washington,18.0,2017
Evansville,18.0,2017
San Francisco,18.0,2017
Western Carolina,17.0,2017
South Carolina St.,17.0,2017
Mount St. Mary's,17.0,2017
Saint Louis,17.0,2017
Chicago St.,17.0,2017
William & Mary,17.0,2017
San Diego St.,17.0,2017
Texas Southern,17.0,2017
Utah St.,17.0,2017
Mississippi Valley St.,17.0,2017
Oral Roberts,17.0,2017
Drake,17.0,2017
Illinois St.,17.0,2017
Nevada,16.0,2017
St. Bonaventure,16.0,2017
Massachusetts,16.0,2017
Colorado St.,16.0,2017
San Jose St.,16.0,2017
Missouri St.,16.0,2017
VMI,16.0,2017
Duquesne,16.0,2017
Northeastern,16.0,2017
Mercer,16.0,2017
George Mason,16.0,2017
Cornell,15.0,2017
Belmont,15.0,2017
Yale,15.0,2017
Cal St. Bakersfield,15.0,2017
Central Arkansas,15.0,2017
Penn,15.0,2017
Fordham,15.0,2017
Charlotte,15.0,2017
IU Indy,15.0,2017
Marshall,15.0,2017
UT Arlington,15.0,2017
UC Santa Barbara,15.0,2017
Wofford,15.0,2017
Chattanooga,15.0,2017
UMKC,15.0,2017
Western Michigan,15.0,2017
Nebraska Omaha,15.0,2017
Charleston,15.0,2017
Buffalo,15.0,2017
Loyola Chicago,15.0,2017
Cleveland St.,15.0,2017
Radford,15.0,2017
UC Irvine,15.0,2017
Eastern Michigan,15.0,2017
Appalachian St.,15.0,2017
Akron,14.0,2017
Princeton,14.0,2017
Valparaiso,14.0,2017
Utah Valley,14.0,2017
UNC Wilmington,14.0,2017
Monmouth,14.0,2017
South Dakota St.,14.0,2017
Air Force,14.0,2017
Maine,14.0,2017
Old Dominion,14.0,2017
North Florida,14.0,2017
Prairie View A&M,14.0,2017
UAB,14.0,2017
Tennessee St.,14.0,2017
East Tennessee St.,14.0,2017
Iona,14.0,2017
Siena,14.0,2017
Bucknell,14.0,2017
Manhattan,14.0,2017
The Citadel,14.0,2017
Holy Cross,14.0,2017
Marist,14.0,2017
UNC Greensboro,14.0,2017
Grand Canyon,14.0,2017
Maryland Eastern Shore,14.0,2017
Samford,14.0,2017
Dartmouth,14.0,2017
Middle Tennessee,14.0,2017
Arkansas St.,14.0,2017
Furman,14.0,2017
Jacksonville St.,13.0,2017
Elon,13.0,2017
Georgia St.,13.0,2017
American,13.0,2017
Vermont,13.0,2017
Northern Colorado,13.0,2017
Coastal Carolina,13.0,2017
Toledo,13.0,2017
Bowling Green,13.0,2017
Brown,13.0,2017
Morehead St.,13.0,2017
Albany,13.0,2017
Towson,13.0,2017
Howard,13.0,2017
Western Kentucky,13.0,2017
Savannah St.,13.0,2017
Detroit Mercy,13.0,2017
Idaho St.,13.0,2017
Florida Gulf Coast,13.0,2017
New Hampshire,13.0,2017
Delaware,13.0,2017
Eastern Kentucky,13.0,2017
Canisius,13.0,2017
Columbia,13.0,2017
Hofstra,13.0,2017
Gardner Webb,13.0,2017
Houston Christian,13.0,2017
Florida Atlantic,13.0,2017
McNeese St.,12.0,2017
Colgate,12.0,2017
Loyola MD,12.0,2017
Seattle,12.0,2017
Georgia Southern,12.0,2017
Troy,12.0,2017
Bryant,12.0,2017
Louisiana Monroe,12.0,2017
Saint Peter's,12.0,2017
Wyoming,12.0,2017
NJIT,12.0,2017
UNC Asheville,12.0,2017
Quinnipiac,12.0,2017
Lehigh,12.0,2017
Harvard,12.0,2017
Kent St.,12.0,2017
Fairleigh Dickinson,12.0,2017
Robert Morris,12.0,2017
Charleston Southern,12.0,2017
Green Bay,12.0,2017
Northern Kentucky,12.0,2017
South Dakota,12.0,2017
Austin Peay,12.0,2017
Lafayette,12.0,2017
James Madison,12.0,2017
Southern Miss,12.0,2017
