TEAM,ELITE SOS,YEAR
Oregon,37.0,2009
Syracuse,37.0,2009
Michigan St.,36.0,2009
USC,36.0,2009
Michigan,36.0,2009
Georgetown,35.0,2009
Arizona,35.0,2009
West Virginia,35.0,2009
Notre Dame,35.0,2009
Villanova,35.0,2009
Connecticut,35.0,2009
Indiana,35.0,2009
Oklahoma St.,35.0,2009
Baylor,34.0,2009
Washington St.,34.0,2009
Pittsburgh,34.0,2009
Texas Tech,34.0,2009
Arizona St.,33.0,2009
Texas,33.0,2009
DePaul,33.0,2009
Maryland,33.0,2009
California,33.0,2009
Virginia,33.0,2009
South Florida,33.0,2009
Florida St.,33.0,2009
Ohio St.,32.0,2009
Duke,32.0,2009
Washington,32.0,2009
Wisconsin,32.0,2009
Cincinnati,32.0,2009
North Carolina,32.0,2009
Miami FL,32.0,2009
Oklahoma,32.0,2009
Tennessee,32.0,2009
Seton Hall,32.0,2009
Oregon St.,31.0,2009
Louisville,31.0,2009
Purdue,31.0,2009
Kansas,31.0,2009
Providence,31.0,2009
Marquette,31.0,2009
Missouri,31.0,2009
Iowa,30.0,2009
UCLA,30.0,2009
Minnesota,30.0,2009
Northwestern,30.0,2009
Illinois,30.0,2009
Rutgers,30.0,2009
St. John's,30.0,2009
Georgia Tech,30.0,2009
Virginia Tech,29.0,2009
Texas A&M,29.0,2009
Nebraska,29.0,2009
Stanford,29.0,2009
Colorado,29.0,2009
N.C. State,29.0,2009
Wake Forest,29.0,2009
Iowa St.,28.0,2009
Penn St.,28.0,2009
Kansas St.,28.0,2009
Boston College,28.0,2009
Clemson,27.0,2009
Kentucky,27.0,2009
Mississippi,26.0,2009
Gonzaga,26.0,2009
UAB,26.0,2009
Utah,26.0,2009
Temple,25.0,2009
Tulsa,25.0,2009
UNLV,25.0,2009
Xavier,25.0,2009
Wyoming,25.0,2009
Georgia,24.0,2009
San Diego St.,24.0,2009
TCU,24.0,2009
Mississippi St.,24.0,2009
Memphis,24.0,2009
Alabama,23.0,2009
LSU,23.0,2009
Arkansas,23.0,2009
BYU,23.0,2009
