TEAM,ELITE SOS,YEAR
Southern Miss,13.0,2019
Winthrop,13.0,2019
Maine,13.0,2019
Liberty,13.0,2019
UC Davis,13.0,2019
Rice,13.0,2019
UTEP,13.0,2019
Duquesne,13.0,2019
Columbia,13.0,2019
UC Irvine,13.0,2019
Colgate,13.0,2019
Saint Francis,13.0,2019
Hartford,12.0,2019
Milwaukee,12.0,2019
Loyola MD,12.0,2019
Austin Peay,12.0,2019
Florida Atlantic,12.0,2019
UTSA,12.0,2019
Charleston Southern,12.0,2019
Charlotte,12.0,2019
Southeast Missouri St.,12.0,2019
Missouri St.,12.0,2019
Eastern Washington,12.0,2019
Tennessee Martin,12.0,2019
Loyola Chicago,12.0,2019
South Carolina St.,12.0,2019
Northwestern St.,12.0,2019
Cleveland St.,12.0,2019
Alabama St.,12.0,2019
North Dakota,12.0,2019
Charleston,12.0,2019
South Dakota,12.0,2019
Louisiana Tech,12.0,2019
Youngstown St.,12.0,2019
Lehigh,12.0,2019
South Alabama,12.0,2019
Jacksonville,12.0,2019
New Mexico St.,12.0,2019
Illinois Chicago,12.0,2019
Vermont,12.0,2019
Drake,12.0,2019
Jacksonville St.,12.0,2019
Binghamton,12.0,2019
Holy Cross,12.0,2019
Brown,12.0,2019
Central Arkansas,11.0,2019
NJIT,11.0,2019
Southeastern Louisiana,11.0,2019
Navy,11.0,2019
Mount St. Mary's,11.0,2019
Hofstra,11.0,2019
Iona,11.0,2019
IU Indy,11.0,2019
Savannah St.,11.0,2019
Valparaiso,11.0,2019
Canisius,11.0,2019
Cal Baptist,11.0,2019
Arkansas Pine Bluff,11.0,2019
Rider,11.0,2019
Montana,11.0,2019
Maryland Eastern Shore,11.0,2019
Incarnate Word,11.0,2019
Presbyterian,11.0,2019
Houston Christian,11.0,2019
South Dakota St.,11.0,2019
Cal St. Northridge,11.0,2019
Drexel,11.0,2019
Texas St.,11.0,2019
Saint Peter's,11.0,2019
Idaho St.,11.0,2019
Purdue Fort Wayne,11.0,2019
Florida A&M,11.0,2019
Monmouth,11.0,2019
Towson,11.0,2019
Western Illinois,11.0,2019
Army,11.0,2019
FIU,11.0,2019
USC Upstate,10.0,2019
Central Connecticut,10.0,2019
McNeese St.,10.0,2019
Seattle,10.0,2019
North Carolina A&T,10.0,2019
Grambling St.,10.0,2019
Norfolk St.,10.0,2019
Sam Houston St.,10.0,2019
Fordham,10.0,2019
UMBC,10.0,2019
SIU Edwardsville,10.0,2019
Delaware,10.0,2019
Nicholls St.,10.0,2019
High Point,10.0,2019
Northern Colorado,10.0,2019
Campbell,10.0,2019
Elon,10.0,2019
Montana St.,10.0,2019
Cal Poly,9.0,2019
North Texas,9.0,2019
Hampton,9.0,2019
Boston University,9.0,2019
Alcorn St.,9.0,2019
Robert Morris,9.0,2019
Prairie View A&M,9.0,2019
Alabama A&M,9.0,2019
Fairfield,9.0,2019
Jackson St.,9.0,2019
James Madison,9.0,2019
Fairleigh Dickinson,9.0,2019
Texas A&M Corpus Chris,9.0,2019
UC Riverside,9.0,2019
Morgan St.,9.0,2019
Stony Brook,9.0,2019
Lafayette,9.0,2019
Abilene Christian,9.0,2019
Stephen F. Austin,9.0,2019
Hawaii,9.0,2019
Northern Arizona,9.0,2019
Albany,9.0,2019
North Carolina Central,9.0,2019
New Orleans,8.0,2019
Bethune Cookman,8.0,2019
Weber St.,8.0,2019
New Hampshire,8.0,2019
Longwood,8.0,2019
Portland St.,8.0,2019
Lamar,8.0,2019
Marist,8.0,2019
UMass Lowell,8.0,2019
UC Santa Barbara,8.0,2019
Bryant,8.0,2019
Siena,8.0,2019
Southern Utah,8.0,2019
American,8.0,2019
Sacred Heart,8.0,2019
Wagner,7.0,2019
Sacramento St.,7.0,2019
Manhattan,7.0,2019
Idaho,7.0,2019
Quinnipiac,7.0,2019
St. Francis NY,7.0,2019
Niagara,7.0,2019
Delaware St.,7.0,2019
Howard,6.0,2019
LIU,6.0,2019
