TEAM,ELITE SOS,YEAR
Air Force,27.9,2002
Akron,24.2,2002
Alabama,33.1,2002
Alabama A&M,0.0,2002
Alabama St.,4.5,2002
Albany,11.0,2002
Alcorn St.,5.0,2002
American,13.3,2002
Appalachian St.,23.8,2002
Arizona,40.0,2002
Arizona St.,32.4,2002
Arkansas,36.4,2002
Arkansas Little Rock,21.1,2002
Arkansas Pine Bluff,13.1,2002
Arkansas St.,20.7,2002
Army,11.8,2002
Auburn,32.6,2002
Austin Peay,22.7,2002
BYU,29.7,2002
Ball St.,27.2,2002
Baylor,27.8,2002
Belmont,19.5,2002
Bethune Cookman,10.2,2002
Binghamton,9.7,2002
Birmingham Southern,7.4,2002
Boise St.,25.5,2002
Boston College,30.5,2002
Boston University,11.5,2002
Bowling Green,25.3,2002
Bradley,23.9,2002
Brown,14.2,2002
Bucknell,13.4,2002
Buffalo,22.9,2002
Butler,20.9,2002
Cal Poly,20.3,2002
Cal St. Fullerton,22.1,2002
Cal St. Northridge,24.5,2002
California,32.3,2002
Campbell,17.5,2002
Canisius,16.9,2002
Centenary,18.7,2002
Central Connecticut,8.1,2002
Central Michigan,25.9,2002
Charleston Southern,14.4,2002
Charlotte,33.9,2002
Chattanooga,24.2,2002
Chicago St.,23.2,2002
Cincinnati,30.7,2002
Clemson,28.5,2002
Cleveland St.,21.2,2002
Coastal Carolina,12.9,2002
Colgate,12.3,2002
College of Charleston,18.8,2002
Colorado,30.4,2002
Colorado St.,27.9,2002
Columbia,17.9,2002
Connecticut,32.6,2002
Coppin St.,12.4,2002
Cornell,19.7,2002
Creighton,24.4,2002
Dartmouth,15.0,2002
Davidson,24.9,2002
Dayton,26.1,2002
DePaul,31.1,2002
Delaware,22.7,2002
Delaware St.,10.5,2002
Denver,21.4,2002
Detroit,25.6,2002
Drake,22.5,2002
Drexel,21.0,2002
Duke,34.7,2002
Duquesne,28.6,2002
East Carolina,29.9,2002
East Tennessee St.,22.3,2002
Eastern Illinois,21.2,2002
Eastern Kentucky,19.7,2002
Eastern Michigan,22.7,2002
Eastern Washington,21.6,2002
Elon,12.5,2002
Evansville,23.8,2002
FIU,22.0,2002
Fairfield,17.8,2002
Fairleigh Dickinson,8.9,2002
Florida,33.8,2002
Florida A&M,14.4,2002
Florida Atlantic,16.7,2002
Florida St.,32.2,2002
Fordham,28.5,2002
Fresno St.,28.6,2002
Furman,22.3,2002
Gardner Webb,17.6,2002
George Mason,20.6,2002
George Washington,27.5,2002
Georgetown,29.2,2002
Georgia,34.7,2002
Georgia Southern,20.0,2002
Georgia St.,18.6,2002
Georgia Tech,33.2,2002
Gonzaga,24.1,2002
Grambling St.,10.3,2002
Green Bay,22.4,2002
Hampton,12.1,2002
Hartford,11.9,2002
Harvard,14.0,2002
Hawaii,21.8,2002
High Point,11.7,2002
Hofstra,22.6,2002
Holy Cross,14.9,2002
Houston,30.1,2002
Howard,10.3,2002
IPFW,22.2,2002
IUPUI,22.5,2002
Idaho,21.2,2002
Idaho St.,17.7,2002
Illinois,35.6,2002
Illinois Chicago,24.9,2002
Illinois St.,25.2,2002
Indiana,39.9,2002
Indiana St.,25.4,2002
Iona,17.9,2002
Iowa,33.2,2002
Iowa St.,28.4,2002
Jackson St.,9.2,2002
Jacksonville,15.5,2002
