TEAM,ELITE SOS,YEAR
West Virginia,37.0,2022
Kansas St.,37.0,2022
Oklahoma,37.0,2022
Kansas,37.0,2022
TCU,37.0,2022
Oklahoma St.,37.0,2022
Iowa St.,37.0,2022
Texas,36.0,2022
Texas Tech,36.0,2022
Michigan,36.0,2022
Baylor,35.0,2022
Alabama,35.0,2022
Villanova,34.0,2022
Tennessee,34.0,2022
Michigan St.,33.0,2022
North Carolina,33.0,2022
Kentucky,32.0,2022
Illinois,32.0,2022
Missouri,31.0,2022
Wisconsin,31.0,2022
Penn St.,31.0,2022
Ohio St.,31.0,2022
Butler,31.0,2022
Arizona St.,30.0,2022
Duke,30.0,2022
LSU,30.0,2022
Purdue,30.0,2022
Maryland,30.0,2022
Marquette,30.0,2022
Indiana,30.0,2022
Syracuse,30.0,2022
Arkansas,30.0,2022
Miami FL,30.0,2022
Stanford,29.0,2022
Nebraska,29.0,2022
Florida St.,29.0,2022
Rutgers,29.0,2022
Minnesota,29.0,2022
Creighton,29.0,2022
Virginia Tech,29.0,2022
Virginia,29.0,2022
Northwestern,29.0,2022
Vanderbilt,29.0,2022
Mississippi St.,29.0,2022
Notre Dame,28.0,2022
Seton Hall,28.0,2022
South Carolina,28.0,2022
UCLA,28.0,2022
Memphis,28.0,2022
Iowa,28.0,2022
Florida,28.0,2022
Georgia,28.0,2022
Georgetown,28.0,2022
Texas A&M,27.0,2022
Auburn,27.0,2022
Oregon St.,27.0,2022
N.C. State,27.0,2022
Louisville,27.0,2022
Connecticut,27.0,2022
Mississippi,27.0,2022
Providence,27.0,2022
Pittsburgh,27.0,2022
Oregon,27.0,2022
Xavier,27.0,2022
St. John's,27.0,2022
Saint Mary's,27.0,2022
Georgia Tech,27.0,2022
Clemson,26.0,2022
Arizona,26.0,2022
DePaul,26.0,2022
Gonzaga,26.0,2022
Houston,26.0,2022
Nevada,26.0,2022
UCF,25.0,2022
Boston College,25.0,2022
California,25.0,2022
Tulane,25.0,2022
USC,24.0,2022
Wichita St.,24.0,2022
San Diego St.,24.0,2022
Wake Forest,24.0,2022
Colorado,24.0,2022
San Francisco,24.0,2022
Utah,24.0,2022
Temple,23.0,2022
Washington,23.0,2022
Cincinnati,23.0,2022
South Florida,23.0,2022
St. Bonaventure,23.0,2022
BYU,23.0,2022
VCU,22.0,2022
UNLV,22.0,2022
Washington St.,22.0,2022
Santa Clara,22.0,2022
SMU,22.0,2022
Colorado St.,22.0,2022
Pepperdine,22.0,2022
Boise St.,22.0,2022
Utah St.,22.0,2022
Wyoming,21.0,2022
San Jose St.,21.0,2022
Richmond,21.0,2022
Tulsa,21.0,2022
Loyola Marymount,21.0,2022
East Carolina,20.0,2022
New Mexico,20.0,2022
Prairie View A&M,20.0,2022
North Florida,20.0,2022
Northern Iowa,20.0,2022
Dayton,19.0,2022
Loyola Chicago,19.0,2022
Alcorn St.,19.0,2022
Saint Louis,19.0,2022
Elon,19.0,2022
Air Force,19.0,2022
San Diego,19.0,2022
Saint Joseph's,18.0,2022
Fresno St.,18.0,2022
George Mason,18.0,2022
Tarleton St.,18.0,2022
Penn,17.0,2022
Indiana St.,17.0,2022
Davidson,17.0,2022
Evansville,17.0,2022
Duquesne,17.0,2022
Bellarmine,17.0,2022
UT Arlington,17.0,2022
Saint Peter's,17.0,2022
Massachusetts,16.0,2022
Long Beach St.,16.0,2022
Alabama St.,16.0,2022
Hofstra,16.0,2022
Missouri St.,16.0,2022
Southern Illinois,16.0,2022
Bradley,16.0,2022
