TEAM,YEAR,EXP,AVG HGT,EFF HGT,roster_size
Minnesota,2004,2.0,77.2,80.8,14.0
Mississippi,2004,1.5,76.8,79.3,14.0
Mississippi Valley St.,2004,1.385,77.2,80.2,13.0
Missouri,2004,1.667,77.2,80.0,12.0
Montana,2004,1.714,77.9,80.8,14.0
Montana St.,2004,1.0,76.9,79.0,13.0
Morehead St.,2004,1.714,76.1,78.2,14.0
Morgan St.,2004,1.143,75.5,77.8,14.0
Mount St. Mary's,2004,1.6,76.4,79.2,15.0
Navy,2004,1.286,77.0,79.9,21.0
Nebraska,2004,1.6,77.4,81.5,15.0
New Hampshire,2004,1.5,75.8,79.2,14.0
New Mexico,2004,1.286,76.0,79.7,14.0
New Mexico St.,2004,1.75,76.4,79.4,12.0
New Orleans,2004,1.846,76.5,79.8,13.0
Niagara,2004,1.615,77.4,80.3,13.0
Nicholls St.,2004,0.917,75.8,79.2,12.0
Norfolk St.,2004,,,,
North Carolina A&T,2004,,,,
North Texas,2004,,,,
Northeastern,2004,,,,
Northern Arizona,2004,,,,
Northern Illinois,2004,,,,
Northwestern,2004,,,,
Northwestern St.,2004,,,,
Notre Dame,2004,,,,
Oakland,2004,,,,
Ohio,2004,,,,
Ohio St.,2004,,,,
Oklahoma,2004,,,,
Old Dominion,2004,,,,
Oral Roberts,2004,,,,
Oregon,2004,,,,
Oregon St.,2004,,,,
Penn,2004,,,,
Penn St.,2004,,,,
Pepperdine,2004,,,,
Portland,2004,,,,
Portland St.,2004,,,,
Prairie View A&M,2004,,,,
Purdue,2004,,,,
Quinnipiac,2004,,,,
Radford,2004,,,,
Rhode Island,2004,,,,
Rice,2004,,,,
Rider,2004,,,,
Robert Morris,2004,,,,
Rutgers,2004,,,,
SMU,2004,,,,
Sacramento St.,2004,,,,
Sacred Heart,2004,,,,
Saint Louis,2004,,,,
Saint Mary's,2004,,,,
Saint Peter's,2004,,,,
Sam Houston St.,2004,,,,
Samford,2004,,,,
San Diego,2004,,,,
San Diego St.,2004,,,,
San Francisco,2004,,,,
San Jose St.,2004,,,,
Santa Clara,2004,,,,
Savannah St.,2004,,,,
Siena,2004,,,,
South Alabama,2004,,,,
South Carolina St.,2004,,,,
South Florida,2004,,,,
Southeast Missouri St.,2004,,,,
Southeastern Louisiana,2004,,,,
Southern,2004,,,,
Southern Miss,2004,,,,
Southern Utah,2004,,,,
Southwest Missouri St.,2004,,,,
St. Bonaventure,2004,,,,
St. Francis NY,2004,,,,
St. Francis PA,2004,,,,
St. John's,2004,,,,
Stephen F. Austin,2004,,,,
Stetson,2004,,,,
Stony Brook,2004,,,,
TCU,2004,,,,
Temple,2004,,,,
Tennessee,2004,,,,
Tennessee Martin,2004,,,,
Tennessee St.,2004,,,,
Tennessee Tech,2004,,,,
Texas A&M,2004,,,,
Texas A&M Corpus Chris,2004,,,,
Texas Pan American,2004,,,,
Texas Southern,2004,,,,
Texas St.,2004,,,,
The Citadel,2004,,,,
Toledo,2004,,,,
Towson,2004,,,,
Troy St.,2004,,,,
Tulane,2004,,,,
Tulsa,2004,,,,
UC Irvine,2004,,,,
UC Riverside,2004,,,,
UC Santa Barbara,2004,,,,
UCLA,2004,,,,
UMBC,2004,,,,
UMKC,2004,,,,
UNC Asheville,2004,,,,
UNC Greensboro,2004,,,,
UNC Wilmington,2004,,,,
UNLV,2004,,,,
USC,2004,,,,
