TEAM,YEAR,EXP,AVG HGT,EFF HGT
Tennessee Martin,2006,,,
Tennessee St.,2006,,,
Tennessee Tech,2006,,,
Texas,2006,,,
Texas A&M,2006,,,
Texas A&M Corpus Chris,2006,,,
Texas Pan American,2006,,,
Texas Southern,2006,,,
Texas Tech,2006,,,
The Citadel,2006,,,
Towson,2006,,,
Troy,2006,,,
Tulane,2006,,,
UAB,2006,,,
UC Davis,2006,,,
UC Irvine,2006,,,
UC Riverside,2006,,,
UC Santa Barbara,2006,,,
UCF,2006,,,
UCLA,2006,,,
UMBC,2006,,,
UMKC,2006,,,
UNC Asheville,2006,,,
UNC Greensboro,2006,,,
UNC Wilmington,2006,,,
UNLV,2006,,,
USC,2006,,,
UT Arlington,2006,,,
UTEP,2006,,,
UTSA,2006,,,
Utah,2006,,,
Utah St.,2006,,,
Utah Valley St.,2006,,,
VCU,2006,,,
VMI,2006,,,
Valparaiso,2006,,,
Vanderbilt,2006,,,
Vermont,2006,,,
Villanova,2006,,,
Virginia,2006,,,
Virginia Tech,2006,,,
Wagner,2006,,,
Wake Forest,2006,,,
Washington,2006,,,
Washington St.,2006,,,
Weber St.,2006,,,
West Virginia,2006,,,
Western Carolina,2006,,,
Western Illinois,2006,,,
Wichita St.,2006,,,
William & Mary,2006,,,
Winthrop,2006,,,
Wofford,2006,,,
Wright St.,2006,,,
Wyoming,2006,,,
Xavier,2006,,,
Yale,2006,,,
Youngstown St.,2006,,,
Air Force,2006,,,
California,2006,,,
Central Connecticut,2006,,,
Central Michigan,2006,,,
Evansville,2006,,,
Florida,2006,,,
Florida A&M,2006,,,
James Madison,2006,,,
Iowa St.,2006,,,
Kansas St.,2006,,,
Mississippi St.,2006,,,
Milwaukee,2006,,,
Mississippi Valley St.,2006,,,
New Orleans,2006,,,
Northwestern,2006,,,
Oakland,2006,,,
Ohio,2006,,,
Saint Mary's,2006,,,
San Diego,2006,,,
San Francisco,2006,,,
Texas St.,2006,,,
Toledo,2006,,,
Western Kentucky,2006,,,
Western Michigan,2006,,,
Tulsa,2006,,,
Wisconsin,2006,,,
