TEAM,YEAR,EXP,AVG HGT,EFF HGT
Akron,2006,,,
Alabama,2006,,,
Alabama A&M,2006,,,
Alabama St.,2006,,,
Albany,2006,,,
Alcorn St.,2006,,,
American,2006,,,
Appalachian St.,2006,,,
Arizona,2006,,,
Arizona St.,2006,,,
Arkansas,2006,,,
Arkansas Little Rock,2006,,,
Arkansas Pine Bluff,2006,,,
Arkansas St.,2006,,,
Army,2006,,,
Auburn,2006,,,
Austin Peay,2006,,,
BYU,2006,,,
Ball St.,2006,,,
Baylor,2006,,,
Belmont,2006,,,
Bethune Cookman,2006,,,
Binghamton,2006,,,
Birmingham Southern,2006,,,
Boise St.,2006,,,
Boston College,2006,,,
Boston University,2006,,,
Bowling Green,2006,,,
Bradley,2006,,,
Brown,2006,,,
Bucknell,2006,,,
Buffalo,2006,,,
Butler,2006,,,
Cal Poly,2006,,,
Cal St. Fullerton,2006,,,
Cal St. Northridge,2006,,,
Campbell,2006,,,
Canisius,2006,,,
Centenary,2006,,,
Charleston Southern,2006,,,
Charlotte,2006,,,
Chattanooga,2006,,,
Chicago St.,2006,,,
Cincinnati,2006,,,
Clemson,2006,,,
Cleveland St.,2006,,,
Coastal Carolina,2006,,,
Colgate,2006,,,
College of Charleston,2006,,,
Colorado,2006,,,
Colorado St.,2006,,,
Columbia,2006,,,
Connecticut,2006,,,
Coppin St.,2006,,,
Cornell,2006,,,
Creighton,2006,,,
Dartmouth,2006,,,
Davidson,2006,,,
Dayton,2006,,,
DePaul,2006,,,
Delaware,2006,,,
Delaware St.,2006,,,
Denver,2006,,,
Detroit,2006,,,
Drake,2006,,,
Drexel,2006,,,
Duke,2006,,,
Duquesne,2006,,,
East Carolina,2006,,,
East Tennessee St.,2006,,,
Eastern Illinois,2006,,,
Eastern Kentucky,2006,,,
Eastern Michigan,2006,,,
Eastern Washington,2006,,,
Elon,2006,,,
FIU,2006,,,
Fairfield,2006,,,
Fairleigh Dickinson,2006,,,
Florida Atlantic,2006,,,
Florida St.,2006,,,
Fordham,2006,,,
Fresno St.,2006,,,
Furman,2006,,,
Gardner Webb,2006,,,
George Mason,2006,,,
George Washington,2006,,,
Georgetown,2006,,,
Georgia,2006,,,
Georgia Southern,2006,,,
Georgia St.,2006,,,
Georgia Tech,2006,,,
Gonzaga,2006,,,
Grambling St.,2006,,,
Green Bay,2006,,,
Hampton,2006,,,
Hartford,2006,,,
Harvard,2006,,,
Hawaii,2006,,,
High Point,2006,,,
Hofstra,2006,,,
Holy Cross,2006,,,
Houston,2006,,,
Howard,2006,,,
IPFW,2006,,,
IUPUI,2006,,,
Idaho,2006,,,
Idaho St.,2006,,,
Illinois,2006,,,
Illinois Chicago,2006,,,
Illinois St.,2006,,,
Indiana,2006,,,
Indiana St.,2006,,,
Iona,2006,,,
Iowa,2006,,,
Jackson St.,2006,,,
Jacksonville,2006,,,
Jacksonville St.,2006,,,
Kansas,2006,,,
Kennesaw St.,2006,,,
Kent St.,2006,,,
Kentucky,2006,,,
LIU Brooklyn,2006,,,
LSU,2006,,,
La Salle,2006,,,
Lafayette,2006,,,
Lamar,2006,,,
Lehigh,2006,,,
Lipscomb,2006,,,
Liberty,2006,,,
Long Beach St.,2006,,,
Longwood,2006,,,
Louisiana Lafayette,2006,,,
Louisiana Monroe,2006,,,
Louisville,2006,,,
Louisiana Tech,2006,,,
Loyola Chicago,2006,,,
Loyola MD,2006,,,
Loyola Marymount,2006,,,
Maine,2006,,,
Manhattan,2006,,,
Marist,2006,,,
Marquette,2006,,,
Marshall,2006,,,
Maryland,2006,,,
Maryland Eastern Shore,2006,,,
Massachusetts,2006,,,
McNeese St.,2006,,,
Memphis,2006,,,
Mercer,2006,,,
Miami FL,2006,,,
Miami OH,2006,,,
Michigan,2006,,,
Michigan St.,2006,,,
Minnesota,2006,,,
Mississippi,2006,,,
Middle Tennessee,2006,1.583,76.4,80.0
Missouri,2006,,,
Missouri St.,2006,,,
Monmouth,2006,,,
Montana,2006,,,
Montana St.,2006,,,
Morehead St.,2006,,,
Morgan St.,2006,,,
Mount St. Mary's,2006,,,
Murray St.,2006,,,
N.C. State,2006,,,
Navy,2006,,,
Nebraska,2006,,,
Nevada,2006,,,
New Hampshire,2006,,,
New Mexico,2006,,,
New Mexico St.,2006,,,
Niagara,2006,,,
Norfolk St.,2006,,,
Nicholls St.,2006,0.667,76.2,78.8
North Carolina,2006,,,
North Carolina A&T,2006,,,
North Dakota St.,2006,,,
North Florida,2006,,,
North Texas,2006,,,
Northeastern,2006,,,
Northern Arizona,2006,,,
Northern Colorado,2006,,,
Northern Illinois,2006,,,
Northern Iowa,2006,,,
Northwestern St.,2006,,,
Notre Dame,2006,,,
Ohio St.,2006,,,
Oklahoma,2006,,,
Oklahoma St.,2006,,,
Old Dominion,2006,,,
Oral Roberts,2006,,,
Oregon,2006,,,
Oregon St.,2006,,,
Pacific,2006,,,
Penn,2006,,,
Penn St.,2006,,,
Pepperdine,2006,,,
Pittsburgh,2006,,,
Portland,2006,,,
Portland St.,2006,,,
Prairie View A&M,2006,,,
Princeton,2006,,,
Providence,2006,,,
Purdue,2006,,,
Quinnipiac,2006,,,
Radford,2006,,,
Rhode Island,2006,,,
Rice,2006,,,
Richmond,2006,,,
Rider,2006,,,
Robert Morris,2006,,,
Rutgers,2006,,,
SMU,2006,,,
Sacramento St.,2006,,,
Sacred Heart,2006,,,
Saint Joseph's,2006,,,
Saint Louis,2006,,,
Saint Peter's,2006,,,
Sam Houston St.,2006,,,
Samford,2006,,,
San Diego St.,2006,,,
San Jose St.,2006,,,
Santa Clara,2006,,,
Savannah St.,2006,,,
Seton Hall,2006,,,
Siena,2006,,,
South Alabama,2006,,,
South Carolina,2006,,,
South Carolina St.,2006,,,
South Dakota St.,2006,,,
South Florida,2006,,,
Southeast Missouri St.,2006,,,
Southeastern Louisiana,2006,,,
Southern,2006,,,
Southern Illinois,2006,,,
Southern Miss,2006,,,
Southern Utah,2006,,,
St. Bonaventure,2006,,,
St. Francis NY,2006,,,
St. Francis PA,2006,,,
St. John's,2006,,,
Stanford,2006,,,
Stephen F. Austin,2006,,,
Stetson,2006,,,
Stony Brook,2006,,,
Syracuse,2006,,,
TCU,2006,,,
Temple,2006,,,
Tennessee,2006,,,
