year,rank,name,school,rating
2013,1,Andrew Wiggins,,1.0000
2013,2,Julius Randle,,0.9994
2013,3,Jabari Parker,,0.9986
2013,4,Aaron Gordon,,0.9985
2013,5,Andrew Harrison,,0.9981
2013,6,Aaron Harrison,,0.9971
2013,7,Chris Walker,,0.9962
2013,8,Kasey Hill,,0.9955
2013,9,Noah Vonleh,,0.9954
2013,10,James Young,,0.9950
2013,11,Dakari Johnson,,0.9940
2013,12,Wayne Selden,,0.9939
2013,13,Jarell Martin,,0.9937
2013,14,Rondae Hollis-Jefferson,,0.9923
2013,15,Bobby Portis,,0.9911
2013,16,Isaiah Hicks,,0.9910
2013,17,Joel Embiid,,0.9904
2013,18,Jabari Bird,,0.9893
2013,19,Marcus Lee,,0.9891
2013,20,Robert Hubbs,,0.9886
2013,21,Jermaine Lawrence,,0.9878
2013,22,Tyler Ennis,,0.9875
2013,23,Isaac Hamilton,,0.9870
2013,24,Anthony Barber,,0.9864
2013,25,Austin Nichols,,0.9856
2013,26,Terry Rozier,,0.9854
2013,27,Semi Ojeleye,,0.9852
2013,28,Keith Frazier,,0.9837
2013,29,Sindarius Thornwell,,0.9830
2013,30,Matt Jones,,0.9827
2013,31,Demetrius Jackson,,0.9826
2013,32,Jajuan Johnson,,0.9825
2013,33,Jordan Mickey,,0.9809
2013,34,Brannen Greene,,0.9806
2013,35,Rysheed Jordan,,0.9806
2013,36,Eric Mika,,0.9805
2013,37,Nick King,,0.9803
2013,38,Zak Irvin,,0.9800
2013,39,Nigel Williams-Goss,,0.9797
2013,40,Kuran Iverson,,0.9785
2013,41,Johnathan Williams,,0.9784
2013,42,Roddy Peters,,0.9783
2013,43,Conner Frankamp,,0.9773
2013,44,Christian Wood,,0.9773
2013,45,Zach LaVine,,0.9772
2013,46,Derrick Walton,,0.9769
2013,47,Xavier Rathan-Mayes,,0.9769
2013,48,Brandon Austin,,0.9769
2013,49,Moses Kingsley,,0.9765
2013,50,Tyler Roberson,,0.9763
