year,rank,name,school,rating
2021,1,Chet Holmgren,,1.0000
2021,2,Paolo Banchero,,0.9994
2021,3,Shaedon Sharpe,,0.9992
2021,4,Jaden Hardy,,0.9990
2021,5,Emoni Bates,,0.9987
2021,6,Jalen Duren,,0.9985
2021,7,Jabari Smith,,0.9980
2021,8,Patrick Baldwin Jr.,,0.9978
2021,9,Kennedy Chandler,,0.9966
2021,10,Scoot Henderson,,0.9965
2021,11,Caleb Houstan,,0.9964
2021,12,Peyton Watson,,0.9962
2021,13,JD Davison,,0.9947
2021,14,Kendall Brown,,0.9946
2021,15,TyTy Washington,,0.9943
2021,16,Daimion Collins,,0.9940
2021,17,Moussa Diabate,,0.9934
2021,18,AJ Griffin,,0.9934
2021,19,Harrison Ingram,,0.9934
2021,20,Max Christie,,0.9928
2021,21,Hunter Sallis,,0.9924
2021,22,Michael Foster,,0.9924
2021,23,Trevor Keels,,0.9918
2021,24,Aminu Mohammed,,0.9915
2021,25,Matthew Cleveland,,0.9911
2021,26,Brandon Huntley-Hatfield,,0.9901
2021,27,Efton Reid,,0.9901
2021,28,Nate Bittle,,0.9900
2021,29,Bryce McGowens,,0.9899
2021,30,Tamar Bates,,0.9892
2021,31,Enoch Boakye,,0.9892
2021,32,Benny Williams,,0.9885
2021,33,Nolan Hickman,,0.9885
2021,34,Manny Obaseki,,0.9878
2021,35,Charles Bediako,,0.9868
2021,36,Jaylon Tyson,,0.9867
2021,37,Tyrese Hunter,,0.9863
2021,38,Malaki Branham,,0.9861
2021,39,Bryce Hopkins,,0.9857
2021,40,Jonas Aidoo,,0.9851
2021,41,Langston Love,,0.9847
2021,42,Kowacie Reeves,,0.9843
2021,43,Jalen Warley,,0.9841
2021,44,Trey Kaufman-Renn,,0.9832
2021,45,Josh Minott,,0.9831
2021,46,Kobe Bufkin,,0.9831
2021,47,Frankie Collins,,0.9821
2021,48,DaRon Holmes,,0.9819
2021,49,Arthur Kaluma,,0.9818
2021,50,Zach Clemence,,0.9800
