year,rank,name,school,rating
2005,1,Josh McRoberts,,0.9998
2005,2,Gerald Green,,0.9995
2005,3,Monta Ellis,,0.9986
2005,4,Martell Webster,,0.9977
2005,5,Andray Blatche,,0.9969
2005,6,Lou Williams,,0.9968
2005,7,Tyler Hansbrough,,0.9952
2005,8,Julian Wright,,0.9951
2005,9,Andrew Bynum,,0.9950
2005,10,Richard Hendrix,,0.9933
2005,11,C.J. Miles,,0.9918
2005,12,Keith Brumbaugh,,0.9908
2005,13,Tasmin Mitchell,,0.9906
2005,14,Greg Paulus,,0.9894
2005,15,Mario Chalmers,,0.9887
2005,16,Amir Johnson,,0.9883
2005,17,Magnum Rolle,,0.9865
2005,18,Lewis Clinch,,0.9857
2005,19,Byron Eaton,,0.9857
2005,20,Bryan Harvey,,0.9855
2005,21,Shawne Williams,,0.9851
2005,22,Brandon Costner,,0.9846
2005,23,Micah Downs,,0.9840
2005,24,Jon Brockman,,0.9832
2005,25,Gary Flowers,,0.9831
2005,26,Danny Green,,0.9824
2005,27,Jamont Gordon,,0.9813
2005,28,Rashad Woods,,0.9811
2005,29,Courtney Fells,,0.9807
2005,30,Ben Allen,,0.9807
2005,31,Artem Wallace,,0.9803
2005,32,J.P. Prince,,0.9798
2005,33,Austin Johnson,,0.9791
2005,34,Joe Krabbenhoft,,0.9784
2005,35,Eric Devendorf,,0.9783
2005,36,Korvotney Barber,,0.9776
2005,37,Alonzo Gee,,0.9769
2005,38,Austin Jackson,,0.9751
2005,39,Tyler Smith,,0.9742
2005,40,Mike Mercer,,0.9741
2005,41,Dior Lowhorn,,0.9735
2005,42,Devan Downey,,0.9733
2005,43,Jessie Sapp,,0.9727
2005,44,Ryan Ayers,,0.9723
2005,45,Roderick Flemings,,0.9723
2005,46,Vernon Goodridge,,0.9711
2005,47,Luke Zeller,,0.9707
2005,48,Marcus Williams,,0.9698
2005,49,Bobby Frasor,,0.9698
2005,50,Antonio Anderson,,0.9682
