TEAM,TALENT_SCORE,TALENT_RANK,YEAR
Kentucky,70.39,1,2011
North Carolina,65.8,3,2011
Texas,63.02,5,2011
Villanova,57.69,10,2011
UCLA,49.68,26,2011
Arizona,61.84,7,2011
Kansas,57.13,11,2011
Connecticut,56.19,13,2011
Florida State,53.1,16,2011
Minnesota,50.8,22,2011
Georgia Tech,46.47,36,2011
Marquette,56.36,12,2011
Oklahoma,39.61,56,2011
Miami,38.32,60,2011
Clemson,37.62,62,2011
Alabama,60.98,8,2011
N.C. State,44.89,40,2011
Indiana,47.69,32,2011
Oregon,43.55,46,2011
Duke,62.42,6,2011
Iowa State,40.65,53,2011
Mississippi State,41.67,49,2011
Louisville,52.85,17,2011
Oklahoma State,51.23,19,2011
Arkansas,51.02,21,2011
Pittsburgh,54.63,15,2011
Washington,51.42,18,2011
Ole Miss,43.87,44,2011
Illinois,58.21,9,2011
Illinois State,27.86,102,2011
Kansas State,44.79,41,2011
Nebraska,30.42,88,2011
Charlotte,39.2,58,2011
Michigan,48.39,30,2011
Auburn,46.06,37,2011
Oregon State,32.03,77,2011
Virginia Tech,49.85,25,2011
West Virginia,46.9,35,2011
Marshall,27.32,106,2011
St. Mary's,21.82,145,2011
Western Kentucky,44.03,43,2011
Michigan State,54.73,14,2011
Southern Miss,31.29,82,2011
Missouri,35.27,69,2011
Cincinnati,41.25,51,2011
Valparaiso,21.98,141,2011
San Diego,30.17,89,2011
South Alabama,28.37,101,2011
Wake Forest,38.18,61,2011
Bowling Green,21.42,149,2011
UAB,25.55,112,2011
Central Michigan,33.27,73,2011
Arkansas State,17.15,205,2011
Cal State Fullerton,31.33,80,2011
Saint Francis (PA),14.99,241,2011
Lipscomb,13.78,261,2011
UCF,36.72,64,2011
St. John's,40.94,52,2011
South Carolina State,15.89,226,2011
Northern Colorado,26.06,110,2011
Florida,47.19,34,2011
Middle Tennessee State,23.44,126,2011
Vanderbilt,47.69,32,2011
Liberty,17.11,206,2011
USF,27.55,104,2011
Texas Tech,35.48,67,2011
Jackson State,15.26,237,2011
La Salle,22.37,138,2011
Western Michigan,22.93,131,2011
Akron,30.17,89,2011
Louisiana-Monroe,15.34,234,2011
Texas-San Antonio,18.56,187,2011
Cleveland State,27.04,108,2011
Tennessee,48.49,29,2011
San Diego State,11.99,287,2011
Lehigh,12.16,276,2011
South Dakota,17.81,196,2011
Wright State,24.91,115,2011
Northern Iowa,28.6,98,2011
Kent State,18.82,181,2011
North Dakota State,21.88,144,2011
New Mexico State,22.89,134,2011
Army,16.66,213,2011
Seattle,19.69,171,2011
Pacific,17.77,197,2011
Sacramento State,14.4,250,2011
Weber State,23.6,124,2011
Wisconsin-Green Bay,18.71,185,2011
Sam Houston State,20.45,162,2011
Tennessee Tech,12.14,278,2011
Long Beach State,24.38,118,2011
American,23.65,123,2011
Oral Roberts,14.32,252,2011
Western Illinois,13.13,265,2011
Marist,18.93,177,2011
UC Irvine,21.81,146,2011
Dartmouth,14.65,246,2011
Xavier,49.47,28,2011
Brown,18.79,182,2011
Cornell,18.17,192,2011
George Mason,34.27,70,2011
Georgia,38.98,59,2011
Denver,12.86,269,2011
Alabama A&M,21.72,147,2011
Binghamton,20.65,160,2011
Buffalo,10.4,303,2011
IPFW,19.96,168,2011
Air Force,12.82,270,2011
Northern Arizona,18.29,190,2011
Illinois Chicago,18.57,186,2011
Prairie View A&M,17.17,204,2011
Rider,20.7,159,2011
Hofstra,15.34,234,2011
South Carolina,47.97,31,2011
Detroit,30.77,85,2011
Mississippi Valley State,17.67,198,2011
Tennessee State,18.74,184,2011
Idaho State,17.3,201,2011
TCU,27.84,103,2011
Florida Gulf Coast,18.07,194,2011
North Texas,28.8,95,2011
Siena,20.06,167,2011
Alcorn State,22.92,132,2011
Rice,21.06,156,2011
James Madison,22.0,140,2011
Howard,21.1,154,2011
Baylor,50.04,24,2011
