year,rank,name,school,rating
2023,1,Isaiah Collier,,0.9999
2023,2,Ron Holland,,0.9994
2023,3,Justin Edwards,,0.9992
2023,4,Aaron Bradshaw,,0.9988
2023,5,Matas Buzelis,,0.9983
2023,6,DJ Wagner,,0.9983
2023,7,Cody Williams,,0.9981
2023,8,Mackenzie Mgbako,,0.9970
2023,9,Ja'Kobe Walter,,0.9968
2023,10,Stephon Castle,,0.9966
2023,11,Elliot Cadeau,,0.9966
2023,12,Omaha Biliew,,0.9961
2023,13,Jared McCain,,0.9959
2023,14,Xavier Booker,,0.9952
2023,15,Kwame Evans Jr.,,0.9942
2023,16,Rob Dillingham,,0.9941
2023,17,Sean Stewart,,0.9933
2023,18,Aden Holloway,,0.9928
2023,19,Caleb Foster,,0.9923
2023,20,TJ Power,,0.9920
2023,21,Elmarko Jackson,,0.9918
2023,22,Bronny James,,0.9912
2023,23,Trentyn Flowers,,0.9911
2023,24,Jackson Shelstad,,0.9905
2023,25,Andrej Stojakovic,,0.9903
2023,26,AJ Johnson,,0.9901
2023,27,Dennis Evans,,0.9888
2023,28,Baye Fall,,0.9888
2023,29,Dink Pate,,0.9887
2023,30,Mookie Cook,,0.9886
2023,31,Jeremy Fears,,0.9884
2023,32,DeShawn Harris-Smith,,0.9876
2023,33,Coen Carr,,0.9873
2023,34,Simeon Wilcher,,0.9869
2023,35,Layden Blocker,,0.9863
2023,36,Brandon Garrison,,0.9863
2023,37,Yves Missi,,0.9859
2023,38,Garwey Dual,,0.9855
2023,39,Taison Chatman,,0.9848
2023,40,Milan Momcilovic,,0.9847
2023,41,Dedan Thomas Jr.,,0.9841
2023,42,Miro Little,,0.9839
2023,43,Reed Sheppard,,0.9839
2023,44,Gavin Griffiths,,0.9834
2023,45,Solomon Ball,,0.9829
2023,46,Wesley Yates III,,0.9826
2023,47,Dusty Stromer,,0.9825
2023,48,Arrinten Page,,0.9822
2023,49,Devin Royal,,0.9819
2023,50,Scotty Middleton,,0.9816
