TEAM,TALENT_SCORE,TALENT_RANK,YEAR
Kentucky,70.14,1,2012
North Carolina,65.95,2,2012
Texas,64.0,4,2012
Villanova,57.5,10,2012
UCLA,55.8,14,2012
Arizona,64.44,3,2012
Kansas,59.76,5,2012
Connecticut,56.38,13,2012
Florida State,52.54,20,2012
Minnesota,41.21,57,2012
Georgia Tech,52.38,21,2012
Marquette,51.17,26,2012
Oklahoma,41.12,58,2012
Miami,31.43,84,2012
Clemson,42.21,54,2012
Alabama,50.37,30,2012
N.C. State,50.63,28,2012
Indiana,53.95,17,2012
Oregon,49.04,33,2012
Duke,59.43,6,2012
Iowa State,44.51,47,2012
Mississippi State,46.45,41,2012
Louisville,44.56,46,2012
Oklahoma State,51.57,25,2012
Arkansas,50.68,27,2012
Pittsburgh,56.51,12,2012
Washington,51.92,24,2012
Ole Miss,48.43,37,2012
Illinois,58.92,8,2012
Illinois State,27.41,109,2012
Kansas State,36.42,68,2012
Nebraska,31.97,79,2012
Charlotte,38.13,64,2012
Michigan,54.7,15,2012
Auburn,49.27,32,2012
Oregon State,35.74,70,2012
Virginia Tech,39.37,63,2012
West Virginia,47.9,38,2012
Marshall,26.06,116,2012
St. Mary's,20.77,163,2012
Western Kentucky,44.47,48,2012
Michigan State,58.48,9,2012
Southern Miss,30.74,90,2012
Missouri,37.92,65,2012
Cincinnati,33.02,75,2012
Valparaiso,21.46,151,2012
San Diego,29.82,99,2012
South Alabama,28.24,105,2012
Wake Forest,45.43,43,2012
Bowling Green,20.5,166,2012
UAB,25.24,121,2012
Central Michigan,32.92,76,2012
Arkansas State,16.57,217,2012
Cal State Fullerton,31.33,85,2012
Saint Francis (PA),14.44,254,2012
Lipscomb,13.0,271,2012
UCF,27.77,107,2012
St. John's,47.28,40,2012
South Carolina State,15.14,243,2012
Northern Colorado,25.73,119,2012
Florida,52.1,22,2012
Middle Tennessee State,22.92,136,2012
Vanderbilt,46.02,42,2012
Liberty,16.36,221,2012
USF,32.91,77,2012
Texas Tech,36.49,67,2012
Jackson State,14.22,256,2012
La Salle,21.77,147,2012
Western Michigan,17.15,207,2012
Akron,30.25,95,2012
Louisiana-Monroe,14.66,248,2012
Texas-San Antonio,18.2,193,2012
Cleveland State,27.39,110,2012
Tennessee,50.39,29,2012
San Diego State,26.88,111,2012
Lehigh,11.56,297,2012
South Dakota,17.47,204,2012
Wright State,25.06,122,2012
Northern Iowa,29.38,101,2012
Kent State,18.62,185,2012
North Dakota State,21.86,146,2012
New Mexico State,22.0,143,2012
Army,16.42,219,2012
Seattle,19.48,177,2012
Pacific,17.53,202,2012
Sacramento State,13.81,264,2012
Weber State,23.58,131,2012
Wisconsin-Green Bay,18.28,191,2012
Sam Houston State,20.25,172,2012
Tennessee Tech,15.66,231,2012
Long Beach State,23.96,127,2012
American,23.65,129,2012
Oral Roberts,14.11,257,2012
Western Illinois,12.84,272,2012
Marist,18.59,187,2012
UC Irvine,22.0,143,2012
Dartmouth,14.54,252,2012
Xavier,52.95,19,2012
Brown,18.53,189,2012
Cornell,17.86,198,2012
George Mason,30.85,89,2012
Georgia,44.84,45,2012
Denver,12.37,280,2012
Alabama A&M,21.72,148,2012
Binghamton,20.59,165,2012
Buffalo,9.98,307,2012
IPFW,19.58,176,2012
Air Force,12.48,278,2012
Northern Arizona,18.09,196,2012
Illinois Chicago,18.54,188,2012
Prairie View A&M,17.18,206,2012
Rider,20.7,164,2012
Hofstra,15.19,241,2012
South Carolina,45.27,44,2012
Detroit,30.64,92,2012
Mississippi Valley State,17.56,201,2012
Tennessee State,18.17,195,2012
Idaho State,17.0,212,2012
TCU,30.67,91,2012
Florida Gulf Coast,18.19,194,2012
North Texas,28.84,104,2012
Siena,20.31,169,2012
Alcorn State,23.73,128,2012
Rice,20.88,161,2012
James Madison,22.03,142,2012
Howard,21.26,154,2012
Baylor,56.63,11,2012
Portland State,15.18,242,2012
St. Francis (NY),14.7,247,2012
Murray State,18.97,180,2012
North Dakota,11.67,295,2012
