year,rank,name,school,rating
2008,1,Brandon Jennings,,0.9996
2008,2,B.J. Mullens,,0.9989
2008,3,Jrue Holiday,,0.9985
2008,4,Samardo Samuels,,0.9985
2008,5,Tyreke Evans,,0.9978
2008,6,DeMar DeRozan,,0.9973
2008,7,Scotty Hopson,,0.9966
2008,8,Greg Monroe,,0.9946
2008,9,Ed Davis,,0.9940
2008,10,Al-Farouq Aminu,,0.9934
2008,11,Kemba Walker,,0.9931
2008,12,Delvon Roe,,0.9920
2008,13,William Buford,,0.9920
2008,14,Willie Warren,,0.9917
2008,15,JaMychal Green,,0.9904
2008,16,Tyler Zeller,,0.9883
2008,17,DeQuan Jones,,0.9870
2008,18,Luke Babbitt,,0.9869
2008,19,J'Mison Morgan,,0.9866
2008,20,Michael Dunigan,,0.9851
2008,21,Iman Shumpert,,0.9851
2008,22,Ater Majok,,0.9840
2008,23,Ty Walker,,0.9834
2008,24,Devin Ebanks,,0.9826
2008,25,Yancy Gates,,0.9822
2008,26,Eloy Vargas,,0.9814
2008,27,Kenny Kadji,,0.9813
2008,28,Jerime Anderson,,0.9797
2008,29,Jeff Withey,,0.9792
2008,30,Henry Sims,,0.9791
2008,31,Tony Woods,,0.9787
2008,32,Jeff Taylor,,0.9784
2008,33,DeAndre Liggins,,0.9780
2008,34,Drew Gordon,,0.9777
2008,35,Malcolm Lee,,0.9777
2008,36,Anthony Jones,,0.9773
2008,37,Kevin Jones,,0.9773
2008,38,Mike Rosario,,0.9770
2008,39,Sylven Landesberg,,0.9748
2008,40,Sean Mosley,,0.9740
2008,41,Klay Thompson,,0.9727
2008,42,Elliot Williams,,0.9726
2008,43,Kenny Frease,,0.9725
2008,44,Wesley Witherspoon,,0.9722
2008,45,John Brandenburg,,0.9712
2008,46,Cashmere Wright,,0.9712
2008,47,Mookie Jones,,0.9702
2008,48,Dashan Harris,,0.9700
2008,49,Xavier Gibson,,0.9693
2008,50,Ray Shipman,,0.9686
