TEAM,TALENT_SCORE,TALENT_RANK,YEAR
Kentucky,70.34,2,2017
North Carolina,56.63,17,2017
Texas,63.74,6,2017
Villanova,51.51,30,2017
UCLA,65.13,4,2017
Arizona,67.98,3,2017
Kansas,63.76,5,2017
Connecticut,49.39,38,2017
Florida State,61.71,7,2017
Minnesota,47.11,43,2017
Georgia Tech,34.5,90,2017
Marquette,50.37,35,2017
Oklahoma,53.17,27,2017
Miami,56.7,15,2017
Clemson,35.19,86,2017
Alabama,53.76,26,2017
N.C. State,51.38,31,2017
Indiana,56.69,16,2017
Oregon,61.36,8,2017
Duke,70.58,1,2017
Iowa State,42.88,65,2017
Mississippi State,52.02,29,2017
Louisville,56.0,18,2017
Oklahoma State,45.05,55,2017
Arkansas,47.28,40,2017
Pittsburgh,35.09,88,2017
Washington,53.09,28,2017
Ole Miss,38.96,74,2017
Illinois,45.16,52,2017
Illinois State,22.37,138,2017
Kansas State,37.84,78,2017
Nebraska,43.33,63,2017
Charlotte,20.64,148,2017
Michigan,46.22,48,2017
Auburn,59.81,9,2017
Oregon State,49.48,37,2017
Virginia Tech,51.35,34,2017
West Virginia,42.78,66,2017
Marshall,14.59,201,2017
St. Mary's,23.5,131,2017
Western Kentucky,45.99,50,2017
Michigan State,57.03,13,2017
Southern Miss,14.9,195,2017
Missouri,55.3,19,2017
Cincinnati,46.16,49,2017
Valparaiso,14.41,206,2017
San Diego,15.16,191,2017
South Alabama,30.48,97,2017
Wake Forest,44.96,56,2017
Bowling Green,13.13,229,2017
UAB,22.1,140,2017
Central Michigan,4.44,262,2017
Arkansas State,17.0,174,2017
Lipscomb,11.22,242,2017
UCF,33.66,91,2017
St. John's,49.51,36,2017
Florida,54.01,25,2017
Middle Tennessee State,28.75,103,2017
Vanderbilt,47.19,42,2017
Liberty,14.28,207,2017
USF,35.78,81,2017
Texas Tech,35.87,80,2017
La Salle,20.24,153,2017
Western Michigan,18.02,162,2017
Akron,14.5,204,2017
Texas-San Antonio,20.36,151,2017
Tennessee,46.8,44,2017
San Diego State,44.82,58,2017
Lehigh,23.89,128,2017
South Dakota,13.33,217,2017
Wright State,24.88,121,2017
Northern Iowa,12.18,234,2017
Kent State,13.65,214,2017
North Dakota State,6.67,257,2017
New Mexico State,17.28,170,2017
Pacific,17.63,168,2017
Weber State,13.6,215,2017
Wisconsin-Green Bay,15.39,190,2017
Tennessee Tech,8.69,254,2017
Long Beach State,17.77,166,2017
Oral Roberts,14.0,209,2017
UC Irvine,14.79,198,2017
Dartmouth,13.99,211,2017
Xavier,51.37,33,2017
Brown,10.34,246,2017
George Mason,26.54,117,2017
Georgia,46.49,46,2017
Buffalo,29.17,100,2017
Northern Arizona,10.46,245,2017
Illinois Chicago,20.89,147,2017
Rider,12.12,236,2017
Hofstra,20.57,149,2017
South Carolina,45.55,51,2017
Tennessee State,18.0,163,2017
TCU,43.07,64,2017
Florida Gulf Coast,27.36,110,2017
North Texas,28.59,105,2017
Siena,13.6,215,2017
Rice,28.28,106,2017
James Madison,18.94,159,2017
Howard,13.33,217,2017
Baylor,43.67,61,2017
Murray State,22.41,137,2017
