TEAM,TALENT_SCORE,TALENT_RANK,YEAR
Virginia,47.2,41,2017
Colorado,39.58,72,2017
Maryland,54.19,23,2017
Missouri State,19.78,154,2017
Utah,44.84,57,2017
Iowa,43.59,62,2017
Arizona State,54.8,22,2017
UNLV,56.84,14,2017
Mount St. Mary's,11.97,238,2017
FIU,15.78,187,2017
Navy,8.23,255,2017
Stephen F. Austin,24.11,126,2017
Mercer,11.62,241,2017
Bryant University,11.02,243,2017
Morehead State,23.6,129,2017
Dayton,34.79,89,2017
Gonzaga,38.39,77,2017
Bradley,10.79,244,2017
Brigham Young,31.53,96,2017
Fordham,20.52,150,2017
Montana State,10.27,247,2017
SMU,45.07,54,2017
Cal State Northridge,18.0,163,2017
Coastal Carolina,13.33,217,2017
North Carolina Central,17.0,174,2017
UT-Arlington,17.0,174,2017
Houston Baptist,16.03,182,2017
Iona,15.0,194,2017
Boise State,24.46,122,2017
Idaho,16.27,180,2017
Evansville,6.67,257,2017
Long Island,14.48,205,2017
IUPUI,17.77,166,2017
George Washington,28.15,107,2017
Houston,32.71,94,2017
St. Bonaventure,14.85,197,2017
Southern Illinois,25.29,120,2017
Eastern Kentucky,24.44,124,2017
Jacksonville State,19.0,157,2017
Southeast Missouri State,18.76,160,2017
Alabama State,13.75,212,2017
Princeton,19.69,155,2017
Georgia Southern,17.88,165,2017
New Orleans,13.33,217,2017
Youngstown State,9.0,252,2017
Fresno State,38.76,75,2017
Bucknell,13.33,217,2017
Wagner,13.33,217,2017
Cal Poly,13.33,217,2017
Towson,14.18,208,2017
Memphis,46.55,45,2017
Georgetown,45.1,53,2017
Georgia State,25.55,119,2017
Rhode Island,27.28,112,2017
New Mexico,27.66,109,2017
UNC Wilmington,23.97,127,2017
Utah State,29.55,98,2017
Hawaii,16.23,181,2017
UC Riverside,13.33,217,2017
Charleston Southern,11.67,239,2017
Columbia,15.88,184,2017
Saint Peter's,18.23,161,2017
Tennessee-Martin,27.36,110,2017
Nevada,29.02,101,2017
Yale,21.13,145,2017
Rutgers,39.11,73,2017
Vermont,15.93,183,2017
High Point,17.4,169,2017
Seton Hall,46.33,47,2017
DePaul,35.56,83,2017
UC Santa Barbara,21.8,141,2017
Indiana State,14.67,199,2017
Penn State,40.57,69,2017
California,40.82,68,2017
Wyoming,27.01,114,2017
VCU,44.8,59,2017
Florida Atlantic,14.54,202,2017
UTEP,33.47,92,2017
Massachusetts,29.23,99,2017
Creighton,48.55,39,2017
Manhattan,12.61,232,2017
Appalachian State,17.17,173,2017
William & Mary,7.0,256,2017
Miami (OH),28.61,104,2017
Saint Louis,35.25,85,2017
Saint Joseph's,23.36,133,2017
Providence,51.38,31,2017
Belmont,27.2,113,2017
Wichita State,33.03,93,2017
Colorado State,26.68,115,2017
Tulsa,28.84,102,2017
Pennsylvania,14.9,195,2017
Ohio,12.18,234,2017
East Carolina,26.66,116,2017
Drake,23.2,134,2017
Delaware,15.85,186,2017
San Jose State,21.48,143,2017
Syracuse,57.29,12,2017
Robert Morris,6.67,257,2017
Duquesne,10.1,250,2017
Wisconsin,39.61,71,2017
Louisiana Tech,16.77,178,2017
Butler,39.92,70,2017
Tulane,32.65,95,2017
Stanford,54.97,20,2017
Wisconsin-Milwaukee,6.67,257,2017
Northern Illinois,16.44,179,2017
Loyola Chicago,21.8,141,2017
Old Dominion,20.94,146,2017
Jacksonville,9.81,251,2017
LSU,54.82,21,2017
USC,54.1,24,2017
Fairfield,17.25,172,2017
Louisiana,14.52,203,2017
Texas A&M,58.4,10,2017
Purdue,44.68,60,2017
Gardner-Webb,10.12,249,2017
Northwestern,35.65,82,2017
Temple,38.41,76,2017
Richmond,27.72,108,2017
Washington State,26.4,118,2017
Notre Dame,41.38,67,2017
Harvard,35.31,84,2017
Montana,14.64,200,2017
Toledo,15.55,188,2017
Eastern Illinois,12.0,237,2017
Holy Cross,13.68,213,2017
Boston University,17.27,171,2017
Samford,10.27,247,2017
Elon,15.01,193,2017
Davidson,22.31,139,2017
UNC Greensboro,15.09,192,2017
Ohio State,57.65,11,2017
Stony Brook,13.33,217,2017
South Dakota State,23.59,130,2017
Northeastern,21.33,144,2017
Southern Utah,17.0,174,2017
UNC Asheville,24.45,123,2017
SIU Edwardsville,2.22,263,2017
New Hampshire,13.33,217,2017
Boston College,35.15,87,2017
Hampton,15.88,184,2017
Missouri-Kansas City,8.74,253,2017
Portland,15.46,189,2017
San Francisco,6.67,257,2017
Wofford,12.87,231,2017
Pepperdine,19.44,156,2017
Stetson,20.28,152,2017
Maine,11.63,240,2017
Monmouth,24.3,125,2017
Nebraska Omaha,23.41,132,2017
Savannah State,14.0,209,2017
Arkansas-Little Rock,19.0,157,2017
Loyola Marymount,13.33,217,2017
Ball State,22.65,135,2017
Presbyterian,13.0,230,2017
Cal State Bakersfield,13.33,217,2017
Santa Clara,37.44,79,2017
Northern Kentucky,12.36,233,2017
Sacred Heart,22.65,135,2017
