year,rank,name,school,rating
2009,1,Derrick Favors,,0.9997
2009,2,John Wall,,0.9992
2009,3,DeMarcus Cousins,,0.9989
2009,4,Avery Bradley,,0.9983
2009,5,John Henson,,0.9979
2009,6,Xavier Henry,,0.9972
2009,7,Wally Judge,,0.9961
2009,8,Renardo Sidney,,0.9953
2009,9,Lance Stephenson,,0.9951
2009,10,Keith Gallon,,0.9944
2009,11,Mouphtaou Yarou,,0.9942
2009,12,Jordan Hamilton,,0.9942
2009,13,Abdul Gaddy,,0.9939
2009,14,Kenny Boynton,,0.9929
2009,15,Michael Snaer,,0.9928
2009,16,Ryan Kelly,,0.9920
2009,17,Dante Taylor,,0.9915
2009,18,Chris Singleton,,0.9911
2009,19,Daniel Orton,,0.9905
2009,20,Alex Oriakhi,,0.9888
2009,21,Dominic Cheek,,0.9870
2009,22,Milton Jennings,,0.9866
2009,23,Mason Plumlee,,0.9860
2009,24,Maalik Wayns,,0.9858
2009,25,Elijah Johnson,,0.9845
2009,26,Naji Hibbert,,0.9842
2009,27,Tyler Honeycutt,,0.9841
2009,28,Thomas Robinson,,0.9839
2009,29,Royce White,,0.9834
2009,30,Lorenzo Brown,,0.9830
2009,31,Durand Scott,,0.9830
2009,32,Tommy Mason-Griffin,,0.9827
2009,33,John Jenkins,,0.9824
2009,34,Raymond Penn,,0.9820
2009,35,Dexter Strickland,,0.9819
2009,36,Mfon Udofia,,0.9802
2009,37,Peyton Siva,,0.9798
2009,38,Aaric Murray,,0.9789
2009,39,Zeke Marshall,,0.9762
2009,40,Christian Watford,,0.9751
2009,41,Aaron Dotson,,0.9750
2009,42,Jamil Wilson,,0.9744
2009,43,Tony Mitchell,,0.9740
2009,44,Eric Bledsoe,,0.9738
2009,45,Lamont Jones,,0.9731
2009,46,Ari Stewart,,0.9730
2009,47,"Glen Rice, Jr.",,0.9712
2009,48,Solomon Hill,,0.9711
2009,49,Rodney Williams,,0.9711
2009,50,Latavious Williams,,0.9710
