year,rank,name,school,rating
2022,1,Nick Smith,,0.9996
2022,2,Dariq Whitehead,,0.9996
2022,3,Dereck Lively II,,0.9996
2022,4,Kyle Filipowski,,0.9984
2022,5,Dillon Mitchell,,0.9983
2022,6,GG Jackson,,0.9981
2022,7,Kel'el Ware,,0.9976
2022,8,Keyonte George,,0.9973
2022,9,Amari Bailey,,0.9967
2022,10,Cason Wallace,,0.9964
2022,11,Jarace Walker,,0.9961
2022,12,Chris Livingston,,0.9954
2022,13,Cam Whitmore,,0.9952
2022,14,Brandon Miller,,0.9952
2022,15,Julian Phillips,,0.9945
2022,16,Arterio Morris,,0.9941
2022,17,Anthony Black,,0.9940
2022,18,Adem Bona,,0.9932
2022,19,Jordan Walsh,,0.9931
2022,20,Mark Mitchell,,0.9929
2022,21,JJ Starling,,0.9925
2022,22,Gradey Dick,,0.9923
2022,23,Jalen Hood-Schifino,,0.9918
2022,24,Yohan Traore,,0.9916
2022,25,Vincent Iwuchukwu,,0.9909
2022,26,Jaden Bradley,,0.9905
2022,27,Tyrese Proctor,,0.9898
2022,28,Leonard Miller,,0.9896
2022,29,Kylan Boswell,,0.9894
2022,30,Malik Reneau,,0.9894
2022,31,Ernest Udeh Jr.,,0.9891
2022,32,MJ Rice,,0.9882
2022,33,Skyy Clark,,0.9880
2022,34,Tyrell Ward,,0.9879
2022,35,Tarris Reed Jr.,,0.9876
2022,36,Ugonna Onyenso,,0.9875
2022,37,Collin Chandler,,0.9872
2022,38,Seth Trimble,,0.9864
2022,39,Chance Westry,,0.9859
2022,40,Terrance Arceneaux,,0.9853
2022,41,Freddie Dilione,,0.9845
2022,42,Dior Johnson,,0.9840
2022,43,Jett Howard,,0.9839
2022,44,Dylan Andrews,,0.9832
2022,45,Isaiah Miranda,,0.9830
2022,46,London Johnson,,0.9830
2022,47,Baba Miller,,0.9830
2022,48,Elijah Fisher,,0.9823
2022,49,Roddy Gayle Jr.,,0.9821
2022,50,Tre White,,0.9813
