year,rank,name,school,rating
2019,1,James Wiseman,,0.9999
2019,2,Anthony Edwards,,0.9994
2019,3,Isaiah Stewart,,0.9992
2019,4,Cole Anthony,,0.9992
2019,5,RJ Hampton,,0.9983
2019,6,Vernon Carey,,0.9982
2019,7,Scottie Lewis,,0.9973
2019,8,Jaden McDaniels,,0.9969
2019,9,Nico Mannion,,0.9967
2019,10,Tyrese Maxey,,0.9963
2019,11,Kahlil Whitney,,0.9957
2019,12,Matthew Hurt,,0.9957
2019,13,Josh Green,,0.9953
2019,14,N'Faly Dante,,0.9952
2019,15,Precious Achiuwa,,0.9950
2019,16,Jeremiah Robinson-Earl,,0.9948
2019,17,Bryan Antoine,,0.9939
2019,18,Trendon Watford,,0.9934
2019,19,Samuell Williamson,,0.9930
2019,20,Isaiah Mobley,,0.9924
2019,21,Tre Mann,,0.9919
2019,22,Josiah-Jordan James,,0.9913
2019,23,LaMelo Ball,,0.9912
2019,24,Keion Brooks,,0.9909
2019,25,Onyeka Okongwu,,0.9907
2019,26,Patrick Williams,,0.9906
2019,27,Armando Bacot,,0.9903
2019,28,C.J. Walker,,0.9903
2019,29,Wendell Moore,,0.9898
2019,30,Trayce Jackson-Davis,,0.9889
2019,31,Oscar Tshiebwe,,0.9888
2019,32,Jahmi'us Ramsey,,0.9886
2019,33,Johnny Juzang,,0.9884
2019,34,DJ Carton,,0.9880
2019,35,Will Baker,,0.9879
2019,36,Isaac Okoro,,0.9871
2019,37,Cassius Stanley,,0.9870
2019,38,Boogie Ellis,,0.9868
2019,39,Rocket Watts,,0.9865
2019,40,Zeke Nnaji,,0.9854
2019,41,Jalen Lecque,,0.9846
2019,42,Addison Patterson,,0.9842
2019,43,Drew Timme,,0.9829
2019,44,EJ Liddell,,0.9827
2019,45,Omar Payne,,0.9818
2019,46,Kofi Cockburn,,0.9818
2019,47,De'Vion Harmon,,0.9814
2019,48,Anton Watson,,0.9812
2019,49,Zach Harvey,,0.9812
2019,50,Alonzo Gaffney,,0.9804
