year,rank,name,school,rating
2006,1,Greg Oden,,1.0000
2006,2,Kevin Durant,,0.9993
2006,3,Brandan Wright,,0.9986
2006,4,Spencer Hawes,,0.9975
2006,5,Thaddeus Young,,0.9967
2006,6,Ty Lawson,,0.9964
2006,7,Chase Budinger,,0.9959
2006,8,Henry Walker,,0.9958
2006,9,Wayne Ellington,,0.9956
2006,10,Paul Harris,,0.9932
2006,11,Brook Lopez,,0.9931
2006,12,Darrell Arthur,,0.9929
2006,13,Javaris Crittenton,,0.9922
2006,14,Daequan Cook,,0.9915
2006,15,Gerald Henderson,,0.9909
2006,16,Sherron Collins,,0.9904
2006,17,Damion James,,0.9877
2006,18,Stanley Robinson,,0.9863
2006,19,DaJuan Summers,,0.9850
2006,20,Vernon Macklin,,0.9847
2006,21,Robin Lopez,,0.9845
2006,22,Earl Clark,,0.9842
2006,23,Obi Muonelo,,0.9838
2006,24,Lance Thomas,,0.9832
2006,25,Tyler Smith,,0.9831
2006,26,Derrick Caracter,,0.9831
2006,27,Quincy Pondexter,,0.9830
2006,28,Mike Conley,,0.9829
2006,29,Greivis Vasquez,,0.9819
2006,30,Duke Crews,,0.9818
2006,31,DeShawn Sims,,0.9783
2006,32,David Lighty,,0.9778
2006,33,Curtis Kelly,,0.9776
2006,34,Raymar Morgan,,0.9769
2006,35,Brian Zoubek,,0.9767
2006,36,Jon Scheyer,,0.9763
2006,37,D.J. Augustin,,0.9762
2006,38,James Keefe,,0.9755
2006,39,Daniel Hackett,,0.9739
2006,40,Hamady N'diaye,,0.9731
2006,41,Ramar Smith,,0.9730
2006,42,Jeremy Mayfield,,0.9727
2006,43,Mike Jones,,0.9720
2006,44,Lazar Hayward,,0.9711
2006,45,Antonio Pena,,0.9703
2006,46,Jodie Meeks,,0.9701
2006,47,Willie Kemp,,0.9699
2006,48,Jason Bennett,,0.9694
2006,49,Scottie Reynolds,,0.9688
2006,50,Jerome Dyson,,0.9685
