year,rank,name,school,rating
2007,1,O.J. Mayo,,0.9994
2007,2,Eric Gordon,,0.9994
2007,3,Michael Beasley,,0.9991
2007,4,Kevin Love,,0.9991
2007,5,Derrick Rose,,0.9988
2007,6,Kyle Singler,,0.9985
2007,7,Donte Greene,,0.9962
2007,8,Nick Calathes,,0.9961
2007,9,Austin Freeman,,0.9956
2007,10,Patrick Patterson,,0.9955
2007,11,J.J. Hickson,,0.9951
2007,12,DeAndre Jordan,,0.9950
2007,13,Kosta Koufos,,0.9950
2007,14,James Harden,,0.9935
2007,15,Anthony Randolph,,0.9933
2007,16,Blake Griffin,,0.9932
2007,17,Jerryd Bayless,,0.9931
2007,18,Jonny Flynn,,0.9921
2007,19,Gani Lawal,,0.9914
2007,20,Mac Koshwal,,0.9912
2007,21,James Anderson,,0.9910
2007,22,Nolan Smith,,0.9910
2007,23,Corey Fisher,,0.9907
2007,24,Solomon Alabi,,0.9901
2007,25,Corey Stokes,,0.9900
2007,26,E'Twaun Moore,,0.9898
2007,27,Cole Aldrich,,0.9898
2007,28,Jamelle Horne,,0.9888
2007,29,Chandler Parsons,,0.9886
2007,30,Craig Brackins,,0.9884
2007,31,Kalin Lucas,,0.9866
2007,32,DeJuan Blair,,0.9866
2007,33,Jai Lucas,,0.9865
2007,34,Austin Daye,,0.9864
2007,35,Alex Legion,,0.9861
2007,36,Taylor King,,0.9861
2007,37,Corperryale Harris,,0.9861
2007,38,Jeff Robinson,,0.9857
2007,39,Senario Hillman,,0.9855
2007,40,Durrell Summers,,0.9850
2007,41,LaceDarius Dunn,,0.9849
2007,42,Gary Johnson,,0.9843
2007,43,JaJuan Johnson,,0.9839
2007,44,Chris Wright,,0.9837
2007,45,Chris Allen,,0.9836
2007,46,Darquavis Tucker,,0.9836
2007,47,Evan Turner,,0.9805
2007,48,Justin Burrell,,0.9799
2007,49,Scott Martin,,0.9795
2007,50,Jon Diebler,,0.9792
