year,rank,name,school,rating
2024,1,Cooper Flagg,,1.0000
2024,2,Ace Bailey,,0.9996
2024,3,Dylan Harper,,0.9992
2024,4,VJ Edgecombe,,0.9989
2024,5,Tre Johnson,,0.9983
2024,6,Khaman Maluach,,0.9981
2024,7,Jalil Bethea,,0.9980
2024,8,Ian Jackson,,0.9970
2024,9,Jayden Quaintance,,0.9969
2024,10,Derrion Reid,,0.9956
2024,11,Drake Powell,,0.9954
2024,12,Derik Queen,,0.9954
2024,13,Donnie Freeman,,0.9953
2024,14,Will Riley,,0.9951
2024,15,Isaiah Evans,,0.9951
2024,16,Asa Newell,,0.9951
2024,17,Flory Bidunga,,0.9949
2024,18,Liam McNeeley,,0.9948
2024,19,Kon Knueppel,,0.9946
2024,20,Boogie Fland,,0.9941
2024,21,Bryson Tucker,,0.9928
2024,22,Karter Knox,,0.9922
2024,23,Aiden Sherrell,,0.9921
2024,24,Carter Bryant,,0.9920
2024,25,Joson Sanon,,0.9914
2024,26,Patrick Ngongba II,,0.9907
2024,27,Billy Richmond,,0.9905
2024,28,Rob Wright III,,0.9905
2024,29,Tahaad Pettiford,,0.9901
2024,30,Morez Johnson Jr.,,0.9896
2024,31,Trent Perry,,0.9888
2024,32,Jase Richardson,,0.9883
2024,33,Annor Boateng,,0.9882
2024,34,Khani Rooths,,0.9879
2024,35,Labaron Philon,,0.9878
2024,36,Cam Scott,,0.9866
2024,37,Ahmad Nowell,,0.9865
2024,38,Jackson McAndrew,,0.9856
2024,39,Darren Harris,,0.9856
2024,40,Rakease Passmore,,0.9848
2024,41,Kanon Catchings,,0.9846
2024,42,Zoom Diallo,,0.9841
2024,43,Thomas Sorber,,0.9832
2024,44,Somto Cyril,,0.9831
2024,45,Jeremiah Fears,,0.9827
2024,46,Naas Cunningham,,0.9825
2024,47,Tyler Betsey,,0.9818
2024,48,Jamari Phillips,,0.9809
2024,49,John Mobley Jr.,,0.9808
2024,50,Austin Swartz,,0.9807
