year,rank,name,school,rating
2011,1,Anthony Davis,,0.9999
2011,2,Austin Rivers,,0.9991
2011,3,Michael Kidd-Gilchrist,,0.9982
2011,4,Quincy Miller,,0.9977
2011,5,Bradley Beal,,0.9975
2011,6,James Michael McAdoo,,0.9972
2011,7,Marquis Teague,,0.9967
2011,8,LeBryan Nash,,0.9959
2011,9,Adonis Thomas,,0.9948
2011,10,Cody Zeller,,0.9935
2011,11,Kentavious Caldwell-Pope,,0.9933
2011,12,Josiah Turner,,0.9928
2011,13,Myck Kabongo,,0.9928
2011,14,Khem Birch,,0.9923
2011,15,P.J. Hairston,,0.9914
2011,16,Branden Dawson,,0.9911
2011,17,Jabari Brown,,0.9904
2011,18,Tony Wroten,,0.9898
2011,19,Rakeem Christmas,,0.9886
2011,20,B.J. Young,,0.9886
2011,21,Kyle Wiltjer,,0.9886
2011,22,Chane Behanan,,0.9881
2011,23,Wayne Blackshear,,0.9874
2011,24,Dorian Finney-Smith,,0.9873
2011,25,Nick Johnson,,0.9870
2011,26,DeAndre Daniels,,0.9867
2011,27,Rodney Hood,,0.9853
2011,28,Michael Carter-Williams,,0.9851
2011,29,Michael Gbinije,,0.9851
2011,30,Levi Randolph,,0.9830
2011,31,Otto Porter,,0.9824
2011,32,Jahii Carson,,0.9817
2011,33,Shannon Scott,,0.9811
2011,34,Quinn Cook,,0.9807
2011,35,Sir'Dominic Pointer,,0.9798
2011,36,Adjehi Baru,,0.9780
2011,37,Johnny O'Bryant,,0.9777
2011,38,Maurice Harkless,,0.9773
2011,39,Rashad Madden,,0.9772
2011,40,Alex Murphy,,0.9769
2011,41,LaQuinton Ross,,0.9759
2011,42,Ben McLemore,,0.9756
2011,43,Sheldon McClellan,,0.9756
2011,44,Nick Faust,,0.9753
2011,45,Dai-Jon Parker,,0.9752
2011,46,Trevor Lacey,,0.9744
2011,47,Sam Thompson,,0.9743
2011,48,Jamal Branch,,0.9728
2011,49,D'Angelo Harrison,,0.9724
2011,50,Amir Williams,,0.9715
