year,rank,name,school,rating
2017,1,Marvin Bagley,,0.9999
2017,2,Michael Porter,,0.9996
2017,3,Deandre Ayton,,0.9992
2017,4,Mohamed Bamba,,0.9989
2017,5,Wendell Carter,,0.9976
2017,6,Collin Sexton,,0.9973
2017,7,Trevon Duval,,0.9971
2017,8,Jaren Jackson,,0.9971
2017,9,Mitchell Robinson,,0.9962
2017,10,Hamidou Diallo,,0.9950
2017,11,Kevin Knox,,0.9947
2017,12,Jarred Vanderbilt,,0.9939
2017,13,Troy Brown,,0.9936
2017,14,Brandon McCoy,,0.9934
2017,15,PJ Washington,,0.9927
2017,16,Lonnie Walker,,0.9924
2017,17,Nick Richards,,0.9919
2017,18,Brian Bowen,,0.9915
2017,19,Gary Trent Jr.,,0.9914
2017,20,Billy Preston,,0.9902
2017,21,Kris Wilkes,,0.9899
2017,22,Emmanuel Akot,,0.9886
2017,23,Silvio De Sousa,,0.9882
2017,24,Trae Young,,0.9880
2017,25,Jaylen Hands,,0.9880
2017,26,Quade Green,,0.9873
2017,27,Malik Williams,,0.9869
2017,28,Jontay Porter,,0.9860
2017,29,Nick Weatherspoon,,0.9855
2017,30,M.J. Walker,,0.9849
2017,31,Jalek Felton,,0.9846
2017,32,Paul Scruggs,,0.9833
2017,33,Shai Gilgeous-Alexander,,0.9823
2017,34,Lindell Wigginton,,0.9820
2017,35,Daniel Gafford,,0.9814
2017,36,John Petty,,0.9809
2017,37,Brandon Randolph,,0.9808
2017,38,Chaundee Brown,,0.9806
2017,39,KZ Okpala,,0.9806
2017,40,Makai Ashton-Langford,,0.9798
2017,41,Jeremiah Tilmon,,0.9791
2017,42,Ethan Thompson,,0.9790
2017,43,Tremont Waters,,0.9781
2017,44,Nickeil Alexander-Walker,,0.9773
2017,45,Cody Riley,,0.9771
2017,46,Jermaine Samuels,,0.9767
2017,47,Chuma Okeke,,0.9758
2017,48,DJ Harvey,,0.9751
2017,49,Daejon Davis,,0.9751
2017,50,Charles O'Bannon Jr.,,0.9730
