year,rank,name,school,rating
2012,1,Nerlens Noel,,0.9999
2012,2,Shabazz Muhammad,,0.9996
2012,3,Isaiah Austin,,0.9986
2012,4,Kyle Anderson,,0.9985
2012,5,Steven Adams,,0.9979
2012,6,Anthony Bennett,,0.9963
2012,7,Kaleb Tarczewski,,0.9962
2012,8,Alex Poythress,,0.9962
2012,9,Grant Jerrett,,0.9948
2012,10,Marcus Smart,,0.9941
2012,11,Ricky Ledo,,0.9933
2012,12,Sam Dekker,,0.9932
2012,13,Rasheed Sulaimon,,0.9930
2012,14,Archie Goodwin,,0.9925
2012,15,Rodney Purvis,,0.9921
2012,16,Brandon Ashley,,0.9917
2012,17,Cameron Ridley,,0.9911
2012,18,Gary Harris,,0.9905
2012,19,Kris Dunn,,0.9901
2012,20,Glenn Robinson,,0.9891
2012,21,DaJuan Coleman,,0.9890
2012,22,Tony Parker,,0.9885
2012,23,T.J. Warren,,0.9877
2012,24,Devonta Pollard,,0.9877
2012,25,Yogi Ferrell,,0.9876
2012,26,Robert Carter,,0.9867
2012,27,Danuel House,,0.9866
2012,28,Mitch McGary,,0.9859
2012,29,Amile Jefferson,,0.9857
2012,30,Semaj Christon,,0.9838
2012,31,Winston Shepard,,0.9836
2012,32,Perry Ellis,,0.9836
2012,33,Marcus Paige,,0.9834
2012,34,Jeremy Hollowell,,0.9816
2012,35,Rico Gathers,,0.9811
2012,36,Jarnell Stokes,,0.9806
2012,37,Shaq Goodwin,,0.9802
2012,38,JaKarr Sampson,,0.9800
2012,39,D'Vauntes Smith-Rivera,,0.9797
2012,40,Katin Reinhardt,,0.9788
2012,41,Shaquille Cleare,,0.9787
2012,42,Cam Biedscheid,,0.9778
2012,43,Willie Cauley-Stein,,0.9763
2012,44,Jerami Grant,,0.9758
2012,45,Elijah Macon,,0.9757
2012,46,Brice Johnson,,0.9753
2012,47,Adam Woodbury,,0.9753
2012,48,Daniel Ochefu,,0.9751
2012,49,Omar Calhoun,,0.9744
2012,50,Josh Scott,,0.9741
