year,rank,name,school,rating
2010,1,Harrison Barnes,,0.9999
2010,2,Kyrie Irving,,0.9990
2010,3,Jared Sullinger,,0.9983
2010,4,Josh Selby,,0.9982
2010,5,Brandon Knight,,0.9973
2010,6,Tobias Harris,,0.9966
2010,7,Enes Kanter,,0.9964
2010,8,Perry Jones,,0.9956
2010,9,Terrence Jones,,0.9951
2010,10,Tristan Thompson,,0.9938
2010,11,C.J. Leslie,,0.9938
2010,12,Will Barton,,0.9931
2010,13,Cory Joseph,,0.9930
2010,14,Fabricio de Melo,,0.9925
2010,15,Reggie Bullock,,0.9918
2010,16,Patric Young,,0.9905
2010,17,Tony Mitchell,,0.9902
2010,18,Deshaun Thomas,,0.9884
2010,19,Joe Jackson,,0.9881
2010,20,Adreian Payne,,0.9878
2010,21,Josh Smith,,0.9874
2010,22,Jelan Kendrick,,0.9869
2010,23,Dion Waiters,,0.9859
2010,24,Lorenzo Brown,,0.9855
2010,25,Ray McCallum,,0.9855
2010,26,Ryan Harrow,,0.9853
2010,27,Doron Lamb,,0.9851
2010,28,Meyers Leonard,,0.9848
2010,29,Kendall Marshall,,0.9841
2010,30,Jereme Richmond,,0.9829
2010,31,Vander Blue,,0.9825
2010,32,Terrence Ross,,0.9821
2010,33,Ian Miller,,0.9811
2010,34,Roscoe Smith,,0.9811
2010,35,Josh Hairston,,0.9799
2010,36,Cameron Clark,,0.9793
2010,37,Dwight Powell,,0.9786
2010,38,Keith Appling,,0.9773
2010,39,Jordan McRae,,0.9773
2010,40,Trey Zeigler,,0.9770
2010,41,Tyler Lamb,,0.9761
2010,42,Cory Jefferson,,0.9752
2010,43,Gerard Coleman,,0.9750
2010,44,KT Harrell,,0.9744
2010,45,Nate Lubick,,0.9731
2010,46,Jordan Sibert,,0.9708
2010,47,Phil Pressey,,0.9692
2010,48,Gorgui Dieng,,0.9686
2010,49,Dominique Ferguson,,0.9684
2010,50,Okaro White,,0.9684
