TEAM,TALENT_SCORE,TALENT_RANK,YEAR
Fresno State,24.84,121,2013
Bucknell,12.4,259,2013
Wagner,12.94,254,2013
Cal Poly,15.05,226,2013
Towson,20.18,161,2013
Memphis,56.07,14,2013
Georgetown,50.48,33,2013
Georgia State,20.88,153,2013
Rhode Island,29.96,97,2013
New Mexico,26.68,108,2013
UNC Wilmington,9.46,299,2013
Utah State,6.67,310,2013
South Carolina Upstate,10.67,282,2013
Hawaii,16.38,198,2013
UC Riverside,13.38,250,2013
Charleston Southern,18.23,182,2013
Columbia,12.8,257,2013
Saint Peter's,6.67,310,2013
Delaware State,6.67,310,2013
Norfolk State,11.26,277,2013
Fairleigh Dickinson,12.25,260,2013
Tennessee-Martin,11.44,274,2013
McNeese State,9.29,301,2013
Nevada,10.11,292,2013
Eastern Michigan,14.36,237,2013
Yale,15.52,217,2013
Rutgers,29.93,98,2013
Vermont,13.81,244,2013
High Point,25.55,116,2013
Seton Hall,30.81,94,2013
DePaul,41.36,61,2013
UC Santa Barbara,26.58,110,2013
Indiana State,22.72,136,2013
Penn State,34.18,78,2013
California,46.1,45,2013
Wyoming,15.94,206,2013
VCU,38.55,67,2013
UC Davis,32.15,88,2013
Florida Atlantic,15.82,212,2013
UTEP,20.09,164,2013
Massachusetts,38.85,66,2013
Creighton,19.11,172,2013
Manhattan,29.12,100,2013
Appalachian State,22.92,134,2013
William & Mary,10.87,279,2013
Miami (OH),14.79,229,2013
Saint Louis,17.22,192,2013
Saint Joseph's,22.63,137,2013
Providence,44.62,51,2013
Belmont,11.88,272,2013
Wichita State,21.42,142,2013
Colorado State,24.96,119,2013
Tulsa,30.74,95,2013
Pennsylvania,28.49,102,2013
Ohio,18.19,183,2013
East Carolina,26.63,109,2013
Drake,12.23,262,2013
Delaware,30.96,93,2013
San Jose State,22.43,139,2013
Syracuse,60.97,8,2013
Robert Morris,22.75,135,2013
Duquesne,24.14,125,2013
Wisconsin,45.38,50,2013
Louisiana Tech,31.16,91,2013
Butler,41.72,59,2013
Tulane,20.89,151,2013
Stanford,47.65,39,2013
Wisconsin-Milwaukee,29.17,99,2013
Northern Illinois,16.54,196,2013
Loyola Chicago,10.95,278,2013
Old Dominion,21.0,148,2013
Jacksonville,23.6,127,2013
Oakland,21.82,140,2013
LSU,54.5,19,2013
USC,41.38,60,2013
Fairfield,21.49,141,2013
Louisiana,18.55,180,2013
Austin Peay,15.13,224,2013
Texas A&M,51.65,29,2013
Colgate,21.38,143,2013
Winthrop,15.86,209,2013
Purdue,51.65,29,2013
Gardner-Webb,9.82,294,2013
Drexel,20.97,149,2013
Northwestern,27.83,106,2013
Temple,32.98,82,2013
Richmond,20.34,160,2013
Washington State,33.81,79,2013
Notre Dame,53.59,23,2013
Harvard,27.93,104,2013
Montana,14.9,227,2013
Toledo,24.32,124,2013
Eastern Illinois,15.47,218,2013
Holy Cross,12.08,264,2013
Boston University,12.85,255,2013
Samford,17.66,189,2013
Chattanooga,20.18,161,2013
East Tennessee State,20.84,155,2013
Citadel,25.11,117,2013
Elon,14.05,240,2013
Davidson,15.4,220,2013
Furman,25.91,112,2013
UNC Greensboro,15.95,205,2013
Ohio State,47.71,38,2013
Stony Brook,15.11,225,2013
Campbell,11.65,273,2013
Central Connecticut State,15.37,222,2013
Western Carolina,13.17,251,2013
Texas Southern,18.71,178,2013
South Dakota State,10.29,290,2013
Northeastern,22.54,138,2013
Arkansas-Pine Bluff,14.75,230,2013
Kennesaw State,12.0,265,2013
Southern Utah,6.22,323,2013
UNC Asheville,12.82,256,2013
SIU Edwardsville,8.85,302,2013
Southeastern Louisiana,10.52,284,2013
New Hampshire,10.21,291,2013
Boston College,27.86,105,2013
Canisius,6.67,310,2013
Hampton,15.99,203,2013
Texas A&M Corpus Christi,11.98,270,2013
Missouri-Kansas City,16.63,195,2013
Portland,15.75,214,2013
Wofford,21.1,145,2013
Pepperdine,18.94,173,2013
Stetson,16.2,200,2013
Maine,13.96,241,2013
Monmouth,12.15,263,2013
Nebraska Omaha,12.0,265,2013
Savannah State,6.67,310,2013
Ball State,39.44,65,2013
Presbyterian,8.0,304,2013
