TEAM,TALENT_SCORE,TALENT_RANK,YEAR
Kentucky,70.39,1,2013
North Carolina,64.1,3,2013
Texas,60.23,9,2013
Villanova,54.37,20,2013
UCLA,57.48,13,2013
Arizona,64.46,2,2013
Kansas,63.15,5,2013
Connecticut,53.57,24,2013
Florida State,49.56,35,2013
Minnesota,32.32,85,2013
Georgia Tech,47.08,42,2013
Marquette,54.31,21,2013
Oklahoma,34.98,75,2013
Miami,35.6,73,2013
Clemson,37.76,71,2013
Alabama,50.21,34,2013
N.C. State,54.89,17,2013
Indiana,59.0,11,2013
Oregon,47.38,41,2013
Duke,61.8,7,2013
Iowa State,45.39,49,2013
Mississippi State,39.67,64,2013
Louisville,51.23,32,2013
Oklahoma State,49.44,36,2013
Arkansas,54.79,18,2013
Pittsburgh,57.7,12,2013
Washington,55.19,16,2013
Ole Miss,43.28,55,2013
Illinois,63.52,4,2013
Illinois State,27.51,107,2013
Kansas State,38.07,68,2013
Nebraska,34.44,77,2013
Charlotte,37.57,72,2013
Michigan,59.27,10,2013
Auburn,45.69,48,2013
Oregon State,32.14,89,2013
Virginia Tech,38.01,69,2013
West Virginia,53.35,25,2013
Marshall,23.11,131,2013
St. Mary's,25.82,114,2013
Western Kentucky,46.72,43,2013
Michigan State,52.16,27,2013
Southern Miss,28.7,101,2013
Missouri,45.92,46,2013
Cincinnati,40.28,62,2013
Valparaiso,15.97,204,2013
San Diego,21.2,144,2013
South Alabama,20.38,159,2013
Wake Forest,43.56,54,2013
Bowling Green,10.09,293,2013
UAB,22.97,133,2013
Central Michigan,20.46,157,2013
Arkansas State,12.0,265,2013
Saint Francis (PA),9.5,298,2013
Lipscomb,7.46,307,2013
UCF,23.49,129,2013
St. John's,43.71,52,2013
South Carolina State,10.42,287,2013
Northern Colorado,24.95,120,2013
Florida,55.23,15,2013
Middle Tennessee State,20.62,156,2013
Vanderbilt,43.62,53,2013
Liberty,12.24,261,2013
USF,41.75,58,2013
Texas Tech,32.89,83,2013
Jackson State,6.67,310,2013
La Salle,19.36,168,2013
Western Michigan,10.7,281,2013
Akron,18.11,185,2013
Louisiana-Monroe,10.43,285,2013
Texas-San Antonio,15.28,223,2013
Cleveland State,20.46,157,2013
Tennessee,53.71,22,2013
San Diego State,32.81,84,2013
Lehigh,6.98,308,2013
South Dakota,14.75,230,2013
Wright State,24.99,118,2013
Northern Iowa,24.46,122,2013
Kent State,16.52,197,2013
North Dakota State,20.91,150,2013
New Mexico State,16.74,193,2013
Army,13.93,242,2013
Seattle,15.84,210,2013
Pacific,15.41,219,2013
Sacramento State,10.34,289,2013
Weber State,23.3,130,2013
Wisconsin-Green Bay,16.15,202,2013
Sam Houston State,18.91,174,2013
Tennessee Tech,14.83,228,2013
Long Beach State,23.5,128,2013
Oral Roberts,13.08,252,2013
Western Illinois,6.73,309,2013
Marist,16.17,201,2013
UC Irvine,24.4,123,2013
Dartmouth,12.45,258,2013
Xavier,51.39,31,2013
Brown,16.66,194,2013
Cornell,15.65,215,2013
George Mason,32.08,90,2013
Georgia,46.6,44,2013
Denver,9.39,300,2013
Binghamton,20.16,163,2013
Buffalo,6.67,310,2013
IPFW,18.79,177,2013
Air Force,6.67,310,2013
Northern Arizona,10.61,283,2013
Illinois Chicago,14.5,234,2013
Prairie View A&M,16.27,199,2013
Rider,10.86,280,2013
Hofstra,13.62,245,2013
South Carolina,51.81,28,2013
Detroit,33.08,81,2013
Mississippi Valley State,15.65,215,2013
Tennessee State,19.15,170,2013
Idaho State,15.79,213,2013
TCU,37.9,70,2013
Florida Gulf Coast,17.87,187,2013
North Texas,31.14,92,2013
Siena,20.89,151,2013
Alcorn State,25.89,113,2013
Rice,21.1,145,2013
James Madison,18.9,175,2013
Howard,17.34,191,2013
Baylor,62.06,6,2013
Portland State,14.46,236,2013
St. Francis (NY),12.0,265,2013
Murray State,14.49,235,2013
North Dakota,9.82,294,2013
Virginia,52.91,26,2013
Colorado,45.87,47,2013
Maryland,48.28,37,2013
Missouri State,19.45,167,2013
Utah,33.32,80,2013
Iowa,35.03,74,2013
Arizona State,39.95,63,2013
UNLV,47.45,40,2013
Mount St. Mary's,6.67,310,2013
Lamar,10.43,285,2013
Northwestern State,13.62,245,2013
FIU,32.2,86,2013
Central Arkansas,14.27,238,2013
Eastern Washington,10.35,288,2013
Navy,20.01,166,2013
Stephen F. Austin,15.87,207,2013
Mercer,11.34,276,2013
Radford,9.82,294,2013
Morehead State,21.03,147,2013
Dayton,30.64,96,2013
Gonzaga,26.52,111,2013
Bradley,20.85,154,2013
Brigham Young,42.35,57,2013
Loyola (MD),18.28,181,2013
Fordham,17.81,188,2013
Quinnipiac,13.02,253,2013
Montana State,19.15,170,2013
SMU,43.18,56,2013
Cal State Northridge,18.19,183,2013
Coastal Carolina,17.91,186,2013
Florida A&M,13.49,248,2013
Maryland Eastern Shore,11.44,274,2013
North Carolina Central,13.49,248,2013
Texas State,14.73,233,2013
UT-Arlington,23.06,132,2013
Houston Baptist,12.0,265,2013
Grambling State,14.06,239,2013
Iona,32.19,87,2013
Hartford,27.98,103,2013
Boise State,18.8,176,2013
Idaho,9.82,294,2013
Evansville,8.76,303,2013
North Florida,6.67,310,2013
Long Island,7.81,306,2013
IUPUI,17.45,190,2013
George Washington,15.87,207,2013
Morgan State,11.92,271,2013
Houston,34.71,76,2013
St. Bonaventure,6.67,310,2013
Virginia Military Institute,8.0,304,2013
Bethune-Cookman,13.62,245,2013
Coppin State,14.75,230,2013
Southern Illinois,19.28,169,2013
Eastern Kentucky,13.89,243,2013
Jacksonville State,20.09,164,2013
Southeast Missouri State,24.12,126,2013
Lafayette,4.65,324,2013
Troy,15.39,221,2013
Nicholls State,6.67,310,2013
Alabama State,6.67,310,2013
Princeton,18.71,178,2013
Georgia Southern,25.76,115,2013
Youngstown State,15.84,210,2013
